Trait Type	Trait Character Types Eligibility	Cultures Excluded for the Trait	Irreversible Level (Level No.)	Hidden Trait or Description?	Anti-Traits	Trait Level	Level Name	In-game Level Name	In-game Level Description	Level Threshold	Level Effects	Level Effects Description	Message When This Level is Gained	Message When This Level is Lost	Character Name Epithet
ReligiousInfluencePaganNeg	family	-	-	no	ReligiousInfluencePaganPos	0	-	-	-	-	-	-	-	-	-
ReligiousInfluencePaganNeg	-	-	-	no	-	1	Pagan_InfNeg1	Disengaged with Paganism	This man's religious zeal has been weakened by contact with fellow practitioners of his faith. He finds them a bit irritating. 	1	Piety -1	Piety -1	-	-	-
ReligiousInfluencePaganNeg	-	-	-	no	-	2	Pagan_InfNeg2	Fed up with Paganism	This man's religious zeal has been greatly weakened by contact with fellow practitioners of his faith. He now feels that they have thoroughly missed the point.	1	Piety -2	Piety -2	-	-	-
ReligiousInfluencePaganPriestNeg	priest	-	-	no	ReligiousInfluencePaganPriestPos	0	-	-	-	-	-	-	-	-	-
ReligiousInfluencePaganPriestNeg	-	-	-	no	-	1	Pagan_InfPrNeg1	Disengaged with Paganism	This man's religious zeal has been weakened by contact with fellow practitioners of his faith. He finds them a bit irritating. 	1	Piety -1, Unorthodoxy 1	Piety -1, Unorthodoxy +1	-	-	-
ReligiousInfluencePaganPriestNeg	-	-	-	no	-	2	Pagan_InfPrNeg2	Fed up with Paganism	This man's religious zeal has been greatly weakened by contact with fellow practitioners of his faith. He now feels that they have thoroughly missed the point.	1	Piety -2, Unorthodoxy 2	Piety -2, Unorthodoxy +2	-	-	-
ReligiousInfluenceShiaPos	family	-	-	no	ReligiousInfluenceShiaNeg	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceShiaPos	-	-	-	no	-	1	Shia_Inf1	Immersed in Shia Islam	This man's religious zeal has been strenghened by contact with fellow practitioners of his faith.	1	Piety 1	Piety +1	-	-	-
ReligiousInfluenceShiaPos	-	-	-	no	-	2	Shia_Inf2	Enamoured with Shia Islam	This man's religious zeal has been greatly strenghened by contact with fellow practitioners of his faith, so that he is now an inspiration to others in his strict following of the faith.	1	Piety 2	Piety +2	-	-	-
ReligiousInfluenceShiaPriestPos	priest	-	-	no	ReligiousInfluenceShiaPriestNeg	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceShiaPriestPos	-	-	-	no	-	1	Shia_InfPr1	Immersed in Shia Islam	This man's religious zeal has been strenghened by contact with fellow practitioners of his faith.	1	Piety 1, Unorthodoxy -1	Piety +1, Unorthodoxy -1	-	-	-
ReligiousInfluenceShiaPriestPos	-	-	-	no	-	2	Shia_InfPr2	Enamoured with Shia Islam	This man's religious zeal has been greatly strenghened by contact with fellow practitioners of his faith, so that he is now an inspiration to others in his strict following of the faith.	1	Piety 2, Unorthodoxy -2	Piety +2, Unorthodoxy -2	-	-	-
ReligiousInfluenceShiaNeg	family	-	-	no	ReligiousInfluenceShiaPos	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceShiaNeg	-	-	-	no	-	1	Shia_InfNeg1	Disengaged with Shia Islam	This man's religious zeal has been weakened by contact with fellow practitioners of his faith. He finds them a bit irritating. 	1	Piety -1	Piety -1	-	-	-
ReligiousInfluenceShiaNeg	-	-	-	no	-	2	Shia_InfNeg2	Fed up with Shia Islam	This man's religious zeal has been greatly weakened by contact with fellow practitioners of his faith. He now feels that they have thoroughly missed the point.	1	Piety -2	Piety -2	-	-	-
ReligiousInfluenceShiaPriestNeg	priest	-	-	no	ReligiousInfluenceShiaPriestPos	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceShiaPriestNeg	-	-	-	no	-	1	Shia_InfPrNeg1	Disengaged with Shia Islam	This man's religious zeal has been weakened by contact with fellow practitioners of his faith. He finds them a bit irritating. 	1	Piety -1, Unorthodoxy 1	Piety -1, Unorthodoxy +1	-	-	-
ReligiousInfluenceShiaPriestNeg	-	-	-	no	-	2	Shia_InfPrNeg2	Fed up with Shia Islam	This man's religious zeal has been greatly weakened by contact with fellow practitioners of his faith. He now feels that they have thoroughly missed the point.	1	Piety -2, Unorthodoxy 2	Piety -2, Unorthodoxy +2	-	-	-
ReligiousInfluenceSunniPos	family	-	-	no	ReligiousInfluenceSunniNeg	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceSunniPos	-	-	-	no	-	1	Sunni_Inf1	Immersed in Sunni Islam	This man's religious zeal has been strenghened by contact with fellow practitioners of his faith.	1	Piety 1	Piety +1	-	-	-
ReligiousInfluenceSunniPos	-	-	-	no	-	2	Sunni_Inf2	Enamoured with Sunni Islam	This man's religious zeal has been greatly strenghened by contact with fellow practitioners of his faith, so that he is now an inspiration to others in his strict following of the faith.	1	Piety 2	Piety +2	-	-	-
ReligiousInfluenceSunniPriestPos	priest	-	-	no	ReligiousInfluenceSunniPriestNeg	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceSunniPriestPos	-	-	-	no	-	1	Sunni_InfPr1	Immersed in Sunni Islam	This man's religious zeal has been strenghened by contact with fellow practitioners of his faith.	1	Piety 1, Unorthodoxy -1	Piety +1, Unorthodoxy -1	-	-	-
ReligiousInfluenceSunniPriestPos	-	-	-	no	-	2	Sunni_InfPr2	Enamoured with Sunni Islam	This man's religious zeal has been greatly strenghened by contact with fellow practitioners of his faith, so that he is now an inspiration to others in his strict following of the faith.	1	Piety 2, Unorthodoxy -2	Piety +2, Unorthodoxy -2	-	-	-
ReligiousInfluenceSunniNeg	family	-	-	no	ReligiousInfluenceSunniPos	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceSunniNeg	-	-	-	no	-	1	Sunni_InfNeg1	Disengaged with Sunni Islam	This man's religious zeal has been weakened by contact with fellow practitioners of his faith. He finds them a bit irritating. 	1	Piety -1	Piety -1	-	-	-
ReligiousInfluenceSunniNeg	-	-	-	no	-	2	Sunni_InfNeg2	Fed up with Sunni Islam	This man's religious zeal has been greatly weakened by contact with fellow practitioners of his faith. He now feels that they have thoroughly missed the point.	1	Piety -2	Piety -2	-	-	-
ReligiousInfluenceSunniPriestNeg	priest	-	-	no	ReligiousInfluenceSunniPriestPos	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceSunniPriestNeg	-	-	-	no	-	1	Sunni_InfPrNeg1	Disengaged with Sunni Islam	This man's religious zeal has been weakened by contact with fellow practitioners of his faith. He finds them a bit irritating. 	1	Piety -1, Unorthodoxy 1	Piety -1, Unorthodoxy +1	-	-	-
ReligiousInfluenceSunniPriestNeg	-	-	-	no	-	2	Sunni_InfPrNeg2	Fed up with Sunni Islam	This man's religious zeal has been greatly weakened by contact with fellow practitioners of his faith. He now feels that they have thoroughly missed the point.	1	Piety -2, Unorthodoxy 2	Piety -2, Unorthodoxy +2	-	-	-
TemperamentPos	family	-	-	no	TemperamentNeg	0	-	-	-	-	-	-	-	-	-
TemperamentPos	-	-	-	no	-	1	Aggressive	Aggressive	This man has developed an aggressive temperament. Though it can annoy some people, it can certainly be useful both in the field and in the court.	1	Attack 1, Charm 1, Law 1, TroopMorale 1, LocalPopularity -1, MovementPoints 10	Attack +1, Charm +1, Law +1, TroopMorale +1, LocalPopularity -1, MovementPoints +10	-	-	-
TemperamentPos	-	-	-	no	-	2	Belligerent	Belligerent	This man's temerament has developed towards belligerent. It makes him a particular force both on the field and at court, but it often emerges at inappropriate times.	2	Attack 2, Charm 2, Law 2, TroopMorale 1, LocalPopularity -2, MovementPoints 10	Attack +2, Charm +2, Law +2, TroopMorale +1, LocalPopularity -2, MovementPoints +10	-	-	-
TemperamentPos	-	-	-	no	-	3	Hotheaded	Hotheaded	This man has become completely barbaric in his agression. It has made him unbearable to be with and does nothing good for his work either on the field or in the court.	3	Attack 3, Charm 3, TroopMorale -1, Command -1, Defence -1, Loyalty -1, PersonalSecurity -1, LocalPopularity -3, Piety -1, MovementPoints 10	Attack +3, Charm +3, TroopMorale -1, Command -1, Defence -1, Loyalty -1, PersonalSecurity -1, LocalPopularity -3, , Piety -1, MovementPoints +10	-	-	-
TemperamentNeg	family	-	-	no	TemperamentPos	0	-	-	-	-	-	-	-	-	-
TemperamentNeg	-	-	-	no	-	1	Calm	Calm	This man has developed a calm temperament. It makes him both calculating and popular, but it can have a detrimental affect on the field.	1	Defence 1, Charm -1, LocalPopularity 1, Ambush 1, TroopMorale 1	Defence +1, Charm -1, LocalPopularity +1, Ambush +1, TroopMorale +1	-	-	-
TemperamentNeg	-	-	-	no	-	2	Forgiving	Forgiving	This man has become and extremely calm and forgiving person. Some might say too much so.	2	Defence 1, Charm -2, LocalPopularity 2, Law -1, Health 1, PersonalSecurity -1, Piety 1	Defence +1, Charm -2, LocalPopularity +2, Law -1, Health +1, PersonalSecurity -1, Piety +1	-	-	-
TemperamentNeg	-	-	-	no	-	3	Timid	Timid	This man has become so fearful of contemplation he resents having to leave his bedroom, and actively avoids certain necessary aspects of his work, much to their detriment. Still, he doesn't seem to have a single enemy in the land.	3	Defence 1, Charm -3, LocalPopularity 3, Law -2, Command -1, TroopMorale -1, Health -1,  PersonalSecurity +2, MovementPoints -10, Piety 2	Defence +1, Charm -3, LocalPopularity +3, Law -2, Command -1, TroopMorale -1, Health -1,  PersonalSecurity +2, MovementPoints -10, Piety +2	-	-	-
BoredFam	family	-	-	no	EnthusiasticFam	0	-	-	-	-	-	-	-	-	-
BoredFam	-	-	-	no	-	1	Bored	Bored	This man is starting to feel that he has been doing the same old crap for too long. He finds himself almost longing for something to go wrong, just so that he can get some excitement.	1	Law -1, Loyalty -1, Squalor 1, TaxCollection -2	Law -1, Loyalty -1, Squalor +1, TaxCollection -2	-	-	-
BoredFam	-	-	-	no	-	2	FedUp	Fed Up	This man has had enough. He's been at this for so long he just no longer cares. If something doesn't happen soon, he might simply throw shop and run off into the hills for a while.	2	Law -2, Loyalty -2, Squalor 2, TaxCollection -4, BribeResistance -1	Law -2, Loyalty -2, Squalor +2, TaxCollection -4	-	-	-
EnthusiasticFam	family	-	-	no	BoredFam	0	-	-	-	-	-	-	-	-	-
EnthusiasticFam	-	-	-	no	-	1	Eager	Eager	This man is excited by his new prospects in life. He is ready to throw himself into the job. He hopes it can last forever.	1	Law 1, Loyalty 1, Squalor -1, TaxCollection 2	Law +1, Loyalty +1, Squalor -1, TaxCollection +2	-	-	-
BoredDiplo	diplomat	-	-	no	EnthusiasticDiplo	0	-	-	-	-	-	-	-	-	-
BoredDiplo	-	-	-	no	-	1	Bored	Bored	This man is starting to feel that he has been doing the same old crap for too long. He finds himself almost longing for something to go wrong, just so that he can get some excitement.	1	Influence -1, MovementPoints -10	Influence -1, MovementPoints -10	-	-	-
BoredDiplo	-	-	-	no	-	2	FedUp	Fed Up	This man has had enough. He's been at this for so long he just no longer cares. It's the same where ever he goes. If something doesn't happen soon, he might simply throw shop and run off into the hills for a while.	2	Influence -2, MovementPoints -20	Influence -2, MovementPoints -20	-	-	-
EnthusiasticDiplo	diplomat	-	-	no	BoredDiplo	0	-	-	-	-	-	-	-	-	-
EnthusiasticDiplo	-	-	-	no	-	1	Eager	Eager	This man is excited by his new prospects in life. His job just seems to keep on giving. He hopes it can last forever.	1	Influence 1, MovementPoints 15	Influence +1, MovementPoints +15	-	-	-
BoredArmy	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
BoredArmy	-	-	-	no	TemperamentPos	1	BoredArmy	Bored of the Army	This man feels that he has spent enough time in the field already. He is starting to think the military life isn't for him. It shows.	1	Attack -1, Command -1, TroopMorale -1	Attack -1, Command -1, TroopMorale -1	-	-	-
Factionleader	family	-	-	no	Factionheir	0	-	-	-	-	-	-	-	-	-
Factionleader	-	-	1	no	-	1	Factionleader	Faction Leader	-	1	Authority 3, PersonalSecurity 3	-	-	-	-
Factionheir	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Factionheir	-	-	1	no	-	1	Factionheir	Faction Heir	-	1	Authority 1, PersonalSecurity 2	-	-	-	-
BattleDread	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
BattleDread	-	-	-	no	-	1	Warrior	True Warrior	This man has proved himself as a true warrior on the battlefield.	1	Chivalry -1, 	Chivalry -1, 	-	-	-
BattleDread	-	-	-	no	-	2	Champion	Battlefield Champion	This man has proved himself as a champion on the battlefield.	2	Chivalry -1, TroopMorale 1, Charm -1	Chivalry -1, TroopMorale +1, Charm -1	-	-	-
BattleDread	-	-	-	no	-	3	Slaughterer	Slaughterer	This man is known as anstoppable force on the battlefield. The mere sight of his sword is enough to make his enemies quake and his followers are filled with thoughts of valour.	3	Chivalry -2, TroopMorale 2, MovementPoints 5, Attack 1, HitPoints 1, Charm -2	Chivalry -2, TroopMorale +2, MovementPoints +5, Attack +1, HitPoints +1, Charm -2	-	-	-
BattleDread	-	-	-	no	-	4	DrenchedInBlood	Drenched In Blood	This man is drenched in the blood of the hundreds he has killed. He is known over all lands as one of the greatest and most fierce warriors alive on earth today. An Achilles of his time. With this man at its head, his army is an unstoppable force.	4	Chivalry -3, TroopMorale 3, MovementPoints 10, Attack 2, Authority 1, Law 1, Piety -1, HitPoints 2, Charm -3	Chivalry -3, TroopMorale +3, MovementPoints +10, Attack +2, Authority +1, Law +1, Piety -1, HitPoints +2, Charm -3	-	-	-
Bravery	family	-	-	no	Coward	0	-	-	-	-	-	-	-	-	-
Bravery	-	-	-	no	-	1	Eager	Eager	This man has proved himself eager to enter the fray. He is certainly not a coward.	1	-	-	-	-	-
Bravery	-	-	-	no	-	2	Brave	Brave	This man has fought in the thickest of the fight and has proved his bravery.	2	TroopMorale 1, Charm -1, LocalPopularity 1	TroopMorale 1, Charm -1, LocalPopularity +1	-	-	-
Bravery	-	-	-	no	-	3	Fearless	Fearless	This man as been seen fighting in the very midst of his foes on multiple occasions. His bravery has been proved time and time again and his renown is spreading. It is wondered by some whether he understands the concept of fear at all.	3	TroopMorale 2, Charm -2, LocalPopularity 2, Attack 1, Authority 1	TroopMorale +2, Charm -2, LocalPopularity +2, Attack +1, Authority +1	-	-	-
Coward	family	-	-	no	Bravery	0	-	-	-	-	-	-	-	-	-
Coward	-	-	-	no	-	1	Unproven	Unproven	This man is yet to prove his worth in a fight.	1	-	-	-	-	-
Coward	-	-	-	no	-	2	Cowardly	Cowardly	This man has been seen shirking from the fight..	2	TroopMorale -1, Charm -1, LocalPopularity -1	TroopMorale -1, Charm +1, LocalPopularity -1	-	-	-
Coward	-	-	-	no	-	3	YellowBellied	YellowBellied	This man has again and again refused to involve himself personally in the fighting. He is considered by all as nothing but a coward.	3	TroopMorale -2, Charm 2, LocalPopularity -2, Attack -1, Authority -1	TroopMorale +2, Charm -2, LocalPopularity +2, Attack +1, Authority +1	-	-	-
CaptorChivalry	family	-	-	no	CaptorDread	0	-	-	-	-	-	-	-	-	-
CaptorChivalry	-	-	-	no	-	1	Respects_the_Enemy	Respectful of His Foes	This man has shown respect to his foes in victory.	1	Chivalry 1 	Chivalry +1 	-	-	-
CaptorChivalry	-	-	-	no	-	2	Merciful	Merciful	This man has proven himself to be merciful his captives.	2	Chivalry 2	Chivalry +2	-	-	-
CaptorChivalry	-	-	-	no	-	3	ChampionOfChivalrousMercy	Champion Of Chivalrous Mercy	This man has proven himself to be a truly chivalrous knight, respected by all for his pious mercy.	3	Chivalry 3, Authority 1, LocalPopularity 1, TroopMorale 1, Piety 1	Chivalry +3, Authority +1, LocalPopularity +1, TroopMorale +1, Piety +1	-	-	-
CaptorDread	family	-	-	no	CaptorChivalry	0	-	-	-	-	-	-	-	-	-
CaptorDread	-	-	-	no	-	1	Disrespects_Prisoners	Disrespects of His Foes	This man has shown a distinct lack of respect for his foes in his victory.	1	Chivalry -1 	Chivalry -1 	-	-	-
CaptorDread	-	-	-	no	-	2	Merciless	Merciless	This man has proven himself mercy for his prisoners.	2	Chivalry -2	Chivalry -2	-	-	-
CaptorDread	-	-	-	no	-	3	Barbarous	Barbarous	This man seems to get some dreadful pleasure in destroying those at his mercy. It is frightful for those around him.	3	Chivalry -3, Authority 1, LocalPopularity -1, TroopMorale -1, Law 1, Piety -1	Chivalry -3, Authority 1, LocalPopularity -1, TroopMorale -1, Law +1, Piety -1	-	-	-
RansomChivalry	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
RansomChivalry	-	-	-	no	-	1	Ransomer	Keen to Randsom	This man has shown a general desire to randsom his captives rather than give them away for free, or kill them.	1	Chivalry 1, TroopMorale 1	Chivalry +1, TroopMorale +1	-	-	-
Victor	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Victor	-	-	-	no	-	1	Renowned_Victor	Known Commander	This man is becoming known for his ability to win battles.	1	TroopMorale 1, LocalPopularity 1	TroopMorale +1, LocalPopularity +1	-	-	-
Victor	-	-	-	no	-	2	Famous_Victor	Famous Commander	This man is known throughout the land for his ability to win battles.	2	TroopMorale 2, LocalPopularity 2, Authority 1	TroopMorale +2, LocalPopularity +2, Authority +1	-	-	-
Victor	-	-	-	no	-	3	Conquerer	Conquerer	This man is famous as a mighty commander, worthy of the memory of Caesar.	3	TroopMorale +3, LocalPopularity +3, Authority +2	TroopMorale 3, LocalPopularity 3, Authority 2	-	-	-
Despoiler	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Despoiler	-	-	-	no	-	1	Looter	Looter	This man is becoming known for his love of sacking cities.	1	Looting 10, TroopMorale 1, LocalPopularity -1	Looting +10, TroopMorale +1, LocalPopularity -1	-	-	-
Despoiler	-	-	-	no	-	2	Pillager	Pillager	This man is known throughout the land for his ability for efficiently sacking cities.	2	Looting 20, TroopMorale 2, LocalPopularity -2, Chivalry -1	Looting +20, TroopMorale +2, LocalPopularity -2, Chivalry -1	-	-	-
Despoiler	-	-	-	no	-	3	Despoiler	Despoiler	This man is famous as a mighty dispoiler of civilisation, worthy of the memory of Attila.	3	Looting 30, TroopMorale 3, LocalPopularity -3, Chivalry -2, Piety -1	Looting +30, TroopMorale +3, LocalPopularity -3, Chivalry -2, Piety -1	-	-	-
Genocide	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Genocide	-	-	-	no	-	1	Brutal_Conqueror	Brutal Conqueror	This man is becoming known for his love of slaughtering populaces.	1	Looting 10, LocalPopularity -1, Chivalry -1, Piety -1	Looting +10, LocalPopularity -1, Chivalry -1, Piety -1	-	-	-
Genocide	-	-	-	no	-	2	Exterminator	Exterminator of Peoples	This man is known throughout the land for his proficiency in genocide.	2	Looting 20, TroopMorale -1, LocalPopularity -2, Chivalry -2, Piety -2	Looting +20, TroopMorale -1, LocalPopularity -2, Chivalry -2, Piety -2	-	-	-
Genocide	-	-	-	no	-	3	HeraldDeath	Herald of Death	This man's name is utterered in fearful whispers in all lands as a herald of death.	3	Looting 30, TroopMorale -2, LocalPopularity -3, Chivalry -3, Piety -3	Looting +30, TroopMorale -2, LocalPopularity -3, Chivalry -3, Piety -3	-	-	-
GoodCommander	family	-	-	no	BadCommander	0	-	-	-	-	-	-	-	-	-
GoodCommander	-	-	-	no	-	1	Promising_Commander	Promising Commander	This man has proven himself as a competent commander.	1	Command 1, MovementPoints 2	Command +1, MovementPoints +2	-	-	-
GoodCommander	-	-	-	no	-	2	Proven_Commander	Proven Commander	This man is becoming known as a skilled commander.	2	Command 2, MovementPoints 4, LineOfSight 2	Command +2, MovementPoints +4, LineOfSight +2	-	-	-
GoodCommander	-	-	-	no	-	3	Great_Commander	Great Commander	This man is becoming famous as a commander of great talent and skill, worthy of the memory of Hannibal.	3	Command 3, MovementPoints 6, LineOfSight 3, Authority 1 	Command +3, MovementPoints +6, LineOfSight +3, Authority +1 	-	-	-
BadCommander	family	-	-	no	GoodCommander	0	-	-	-	-	-	-	-	-	-
BadCommander	-	-	-	no	-	1	Unproven_Commander	Ineffective Commander	This man has proven himself as a competent commander.	1	Command 1, MovementPoints 2	Command +1, MovementPoints +2	-	-	-
BadCommander	-	-	-	no	-	2	Incompetent_Commander	Proven Commander	This man is becoming known as a skilled commander.	2	Command 2, MovementPoints 4, LineOfSight 2	Command +2, MovementPoints +4, LineOfSight +2	-	-	-
BadCommander	-	-	-	no	-	3	Useless_Commander	Great Commander	This man is becoming famous as a commander of great talent and skill, worthy of the memory of Hannibal.	3	Command 3, MovementPoints 6, LineOfSight 3, Authority 1 	Command +3, MovementPoints +6, LineOfSight +3, Authority +1 	-	-	-
Disciplinarian	family	-	-	no	BadDisciplinarian	0	-	-	-	-	-	-	-	-	-
Disciplinarian	-	-	-	no	-	1	Conscientious_Trainer	Conscientious Trainer	This man believes firmly in the importance of continued training for his troops. After all, an untrained army is nothing more than an armed rabble.	1	TroopMorale 1, MovementPoints 2	TroopMorale +1, MovementPoints +2	-	-	-
Disciplinarian	-	-	-	no	-	2	Drillmaster	Disciplinarian	This man is a firm believer in the importance of solid discipline. Sure his troops may be resentful of his strickness at times, but they will certainly appreciate it once they are fighting side by side in the field.	2	Command 1, TroopMorale -1, MovementPoints 4, Looting 5	Command +1, TroopMorale -1, MovementPoints +4, Looting +5	-	-	-
Disciplinarian	-	-	-	no	-	3	Harsh_Taskmaster	Harsh Taskmaster	To this man, the disicpline of his army is the first and the only rule of soldiery. His men may resent him utterly for it, but their incredible discipline in the face of death is a frightning prospect for their enemies. Besides, good disipline is the only thing which seperates civilisation from the barbarism that surrounds it.	3	Command 2, TroopMorale -2, MovementPoints 6, Looting 10, LocalPopularity -1, Law 1, Authority 1	Command +2, TroopMorale -2, MovementPoints +6, Looting +10, LocalPopularity -1, Law +1, Authority +1	-	-	-
BadDisciplinarian	family	-	-	no	Disciplinarian	0	-	-	-	-	-	-	-	-	-
BadDisciplinarian	-	-	-	no	-	1	Poor_Disciplinarian	Poor Disciplinarian	This man believes that there are more important things to focus on than discipline. Some would say that his army suffers for it.	1	TroopMorale 1, MovementPoints -2	TroopMorale +1, MovementPoints -2	-	-	-
BadDisciplinarian	-	-	-	no	-	2	Easy_on_the_Men	Soft on the Men	This man has started believing that the best way to get his troops to obey him is for them to love him. Besides, they are a polite and decent bunch after all aren't they? They think it best to let him continue believing that.	2	Command -1, TroopMorale 2, MovementPoints -4, Looting -5	Command -1, TroopMorale +2, MovementPoints -4, Looting -5	-	-	-
BadDisciplinarian	-	-	-	no	-	3	Way_too_Leniant	Far too Leniant	This man has simply become a pushover. He has forgotten the line between general and soldier. Perhaps he just likes giving people what they want?	3	Command -2, TroopMorale 3, MovementPoints -8, Looting -10, LocalPopularity 1, Law -1, Authority -1	Command -2, TroopMorale +3, MovementPoints -8, Looting -10, LocalPopularity +1, Law -1, Authority -1	-	-	-
GoodInfantryGeneral	family	-	-	no	BadInfantryGeneral	0	-	-	-	-	-	-	-	-	-
GoodInfantryGeneral	-	-	-	no	-	1	Good_with_Infantry	Good with the Infantry	This man knows how to use his infantry to the best effect.	1	InfantryCommand 1	InfantryCommand +1	-	-	-
GoodInfantryGeneral	-	-	-	no	-	2	Skilled_with_Infantry	Infantry Tactician	This man has studied infantry tactics and is considered skilled in the use of infantry in the field.	2	InfantryCommand 2 	InfantryCommand +2 	-	-	-
GoodInfantryGeneral	-	-	-	no	-	3	Infantry_Master	Master of Infantry Tactics	This man knows all there is to know about the use of infantry in battle. He knows every asset and every weakness, and he has proved so on numerous occasions. His infantry feel safe in his hands.	3	InfantryCommand 3 	InfantryCommand +3 	-	-	-
BadInfantryGeneral	family	-	-	no	GoodInfantryGeneral	0	-	-	-	-	-	-	-	-	-
BadInfantryGeneral	-	-	-	no	-	1	Poor_with_Infantry	Poor with Infantry	This man has never mastered the point of his infantry.	1	InfantryCommand -1	InfantryCommand -1	-	-	-
BadInfantryGeneral	-	-	-	no	-	2	Ignores_the_Infantry	Ignores the Infantry	This man doesn't really see the point of infantry. They seem to him the weakest part of the army, and so not worth focusing on.	2	InfantryCommand -2 	InfantryCommand -2 	-	-	-
BadInfantryGeneral	-	-	-	no	-	3	Inept_with_Infantry	Inept with Infantry	This man continues to ignore his infantry, mainly because he no longer remembers what he should be doing with them anyway.	3	InfantryCommand -3 	InfantryCommand -3 	-	-	-
GoodCavalryGeneral	family	-	-	no	BadCavalryGeneral	0	-	-	-	-	-	-	-	-	-
GoodCavalryGeneral	-	-	-	no	-	1	Good_with_Cav	Good with the Cavalry	This man knows how to use his cavalry to the best effect.	1	CavalryCommand 1	CavalryCommand +1	-	-	-
GoodCavalryGeneral	-	-	-	no	-	2	Skilled_with_Cavalry	Cavalry Tactician	This man has studied cavalry tactics and is considered skilled in the use of cavalry in the field.	2	CavalryCommand 2 	CavalryCommand +2 	-	-	-
GoodCavalryGeneral	-	-	-	no	-	3	Cavalry_Master	Master of Infantry Tactics	This man knows all there is to know about the use of cavalry in battle. He knows every asset and every weakness, and he has proved so on numerous occasions. His cavalry feel safe in his hands.	3	CavalryCommand 3 	CavalryCommand +3 	-	-	-
BadCavalryGeneral	family	-	-	no	GoodCavalryGeneral	0	-	-	-	-	-	-	-	-	-
BadCavalryGeneral	-	-	-	no	-	1	Poor_with_Cavalry	Poor with Cavalry	This man has never mastered the point of his cavalry.	1	CavalryCommand -1	CavalryCommand -1	-	-	-
BadCavalryGeneral	-	-	-	no	-	2	Ignores_the_Cavalry	Ignores the Cavalry	This man doesn't really see the point of cavalry. They seem to him the weakest part of the army, and so not worth focusing on.	2	CavalryCommand -2 	CavalryCommand -2 	-	-	-
BadCavalryGeneral	-	-	-	no	-	3	Inept_with_Cavalry	Inept with Cavalry	This man continues to ignore his cavalry, mainly because he no longer remembers what he should be doing with them anyway.	3	CavalryCommand -3 	CavalryCommand -3 	-	-	-
NightBattleCapable	family	-	-	no	Noctophobia	0	-	-	-	-	-	-	-	-	-
NightBattleCapable	-	-	-	no	-	1	NightBattleCapable	Capable of Night Battles	This man is not afraid of leading his men into battle at night. It doesn't mean he's any good at it though.	1	NightBattle 1	-	-	-	-
BattleScarred	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
BattleScarred	-	-	1	no	-	1	Marks_of_War	Marked by Battle	This man has seen the worst side of war, and has the scars to prove it. He is respected for it, and the ladies seem to love his rugged look.	1	Fertility 1, LocalPopularity 1, TroopMorale 1	Fertility +1, LocalPopularity +1, TroopMorale +1	-	-	-
BattleScarred	-	-	1	no	-	2	Scarred	War Scarred	This man has seen more than his fair share of brutal combat. And it shows. It might not amke him look particularly beautiful, but it gives him an aura of respect that few men carry.	2	Authority 1, LocalPopularity 1, TroopMorale 1, Charm -1	Authority +1, LocalPopularity +1, TroopMorale +1	-	-	-
BattleScarred	-	-	1	no	-	3	Terribly_Scarred	Disfigured By War	This man has been brutaly scarred by war. They are a clear reminder of the horrors of combat. But he carries them proudly, and none can forget the sacrifices he has made for the good of his land... as shan't he.	3	Authority 2, Health -1, TroopMorale 2, Fertility -1, Loyalty -1, Charm -3	Authority +2, Health -1, TroopMorale +2, Fertility -1, Loyalty -1	-	-	-
Berserker	family	-	-	no	Coward	0	-	-	-	-	-	-	-	-	-
Berserker	-	-	-	no	-	1	Fierce_in_Battle	Fierce in Battle	This man is a fierce sight to behold once the blood of battle is flowing.	1	Chivalry -1, TroopMorale 1, Attack 1, Defence -1, Charm -1	Chivalry -1, TroopMorale +1, Attack  +1, Defence -1, Charm -1	-	-	-
Berserker	-	-	-	no	-	2	Crazy_in_Battle	Wild in Battle	The sight of this man in battle sends fear into his enemies and swells the hearts of his men.	2	Chivalry -2, TroopMorale 2, Attack 2, Defence -2, Charm -2, PersonalSecurity 1, HitPoints 1	Chivalry -2, TroopMorale  +2, Attack  +2, Defence -2, Charm -2, PersonalSecurity  +1, HitPoints  +1	-	-	-
