Trigger Description	Trigger Reference Name	Event When to Test	Ancillary to Award	Chance	Base Condition	Conditions (separated by comma)
-	count_of_the_Szeklers_trigger	CharacterTurnEndInSettlement	Count_of_the_Szeklers	100	IsGeneral	FactionType hungary, not IsFactionLeader, not IsFactionHeir, not FactionwideAncillaryExists Count_of_the_Szeklers, SettlementBuildingExists = Szekler_Earldom, Attribute Loyalty >= 3, Attribute Command>= 3
-	Count_of_Toulouse_trigger	CharacterTurnEndInSettlement	Count_of_Toulouse	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Toulouse_Province, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Toulouse, TimeInRegion > 1,
-	Count_of_Tusculum_trigger	CharacterTurnEndInSettlement	Count_of_Tusculum	100	IsGeneral	not IsFactionLeader, FactionType papacy, EndedInSettlement, SettlementName Rome_Province,  not FactionwideAncillaryExists Count_of_Tusculum, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, I_Turn <=200
-	Count_Palatine_of_the_Rhine_trigger	CharacterTurnEndInSettlement	Count_Palatine_of_the_Rhine	100	IsGeneral	FactionReligion catholic, not IsFactionLeader, not IsFactionHeir, not HasAncType Religion, not HasAncType Politics, not HasAncType Magic, EndedInSettlement, SettlementName Regensburg_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 3, Attribute Authority>= 1, not FactionwideAncillaryExists Count_Palatine_of_the_Rhine,
-	Crown_chancellor_trigger	CharacterTurnEndInSettlement	Crown_chancellor	70	IsFactionLeader	not IsFactionLeader, not IsFactionHeir, FactionType bohemia, not HasAncType politics, Attribute Loyalty >= 5, not FactionwideAncillaryExists Crown_chancellor
-	Crown_of_Bohemia_trigger	CharacterTurnEndInSettlement	Crown_of_Bohemia	100	IsFactionLeader	FactionType bohemia, Attribute Authority >= 5, I_SettlementOwner Prague_Province  = bohemia, I_SettlementOwner Breslau_Province = bohemia, I_SettlementOwner Olomouc_Province = bohemia, I_SettlementOwner Magdeburg_Province = bohemia,  EndedInSettlement, SettlementName Prague_Province
-	Curator_trigger	CharacterTurnEndInSettlement	Curator	70	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = curatoriae, Attribute Loyalty >= 4, TimeInRegion >= 5,
-	Deputy_chancellor_of_Lithuania_trigger	CharacterTurnEndInSettlement	Deputy_chancellor_of_Lithuania	70	IsGeneral	FactionType central_european, not HasAncType politics, Attribute Loyalty >= 5, Attribute Authority >= 1, not WorldwideAncillaryExists Deputy_chancellor_of_Lithuania,
-	Deputy_chancellor_of_the_Crown_trigger	CharacterTurnEndInSettlement	Deputy_chancellor_of_the_Crown	70	IsFactionLeader	FactionType central_european, not HasAncType politics, Attribute Loyalty >= 5, not WorldwideAncillaryExists Deputy_chancellor_of_the_Crown
-	Doge_of_Venice_trigger	CharacterTurnEndInSettlement	Doge_of_Venice	100	IsFactionLeader	FactionType venice, I_SettlementOwner Venice_Province = venice, 
-	Ducal_Counsellor_trigger	CharacterTurnEndInSettlement	Ducal_Counsellor	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType southern_european, Attribute Loyalty >= 5, EndedInSettlement, SettlementBuildingExists = plazzo_ducal, not HasAncType Politics, 
-	Duke_of_Bavaria_trigger	CharacterTurnEndInSettlement	Duke_of_Bavaria	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Regensburg_Province,  TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Bavaria
-	Duke_of_Brittany_trigger	CharacterTurnEndInSettlement	Duke_of_Brittany	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Rennes_Province, TimeInRegion > 1,  Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Brittany
-	Duke_of_Burgundy_trigger	CharacterTurnEndInSettlement	Duke_of_Burgundy	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Dijon_Province, TimeInRegion > 1,  Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Burgundy
-	Duke_of_Chaldia_trigger	CharacterTurnEndInSettlement	Duke_of_Chaldia	100	IsGeneral	EndedInSettlement, SettlementName Trabzon_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Chaldia
-	Duke_of_Dalmatia_trigger	CharacterTurnEndInSettlement	Duke_of_Dalmatia	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Dubrovnik_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Dalmatia
-	Duke_of_Finland_trigger	CharacterTurnEndInSettlement	Duke_of_Finland	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Turku_Province, TimeInRegion > 1,  Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Finland
-	Duke_of_Melfi_trigger	CharacterTurnEndInSettlement	Duke_of_Melfi	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Melfi_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Melfi
-	Duke_of_normandy_trigger	CharacterTurnEndInSettlement	Duke_of_normandy	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Rouen_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_normandy
-	Duke_of_Orleans_trigger	CharacterTurnEndInSettlement	Duke_of_Orleans	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Orleans_Province, TimeInRegion > 1,  Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Orleans
-	Duke_of_Pomerania_trigger	CharacterTurnEndInSettlement	Duke_of_Pomerania	100	IsGeneral	EndedInSettlement, SettlementName Stettin_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Pomerania
-	Duke_of_Rome_trigger	CharacterTurnEndInSettlement	Duke_of_Rome	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Rome_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Rome
-	Duke_of_Saxony_trigger	CharacterTurnEndInSettlement	Duke_of_Saxony	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Bremen_Province, not HasAncType Princes, not HasAncType Religion, not HasAncType Politics, not HasAncType Magic, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Saxony
-	Duke_of_Sicily_trigger	CharacterTurnEndInSettlement	Duke_of_Sicily	100	IsGeneral	FactionReligion catholic, EndedInSettlement, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_Sicily
-	Duke_of_Sweden_trigger	CharacterTurnEndInSettlement	Duke_of_Sweden	100	IsGeneral	FactionReligion catholic,  not IsFactionLeader, not IsFactionHeir, EndedInSettlement, SettlementName Uppsala_Province, TimeInRegion > 3, Attribute Command>= 3, Attribute Authority>= 3, not FactionwideAncillaryExists Duke_of_Sweden, not WorldwideAncillaryExists King_of_the_Swedes
-	Duke_of_the_Lutici_trigger	CharacterTurnEndInSettlement	Duke_of_the_Lutici	100	IsGeneral	EndedInSettlement, SettlementName Stettin_Province, TimeInRegion > 1, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Duke_of_the_Lutici
-	Earl_Marshal_of_England_trigger	CharacterTurnEndInSettlement	Earl_Marshal_of_England	70	IsGeneral	not IsFactionLeader, FactionType england, Attribute Loyalty >= 5, Attribute Command>= 2, Attribute Authority>= 1, not FactionwideAncillaryExists Earl_Marshal_of_England
-	Earl_of_northumbria_trigger	CharacterTurnEndInSettlement	Earl_of_northumbria	100	IsGeneral	not IsFactionLeader, FactionType england, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Earl_of_northumbria, EndedInSettlement, SettlementName York_Province, TimeInRegion > 1
-	Earl_of_Sjaelland_trigger	CharacterTurnEndInSettlement	Earl_of_Sjaelland	100	IsGeneral	FactionCultureType northern_european, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Earl_of_Sjaelland, EndedInSettlement, SettlementName Roskilde_Province, TimeInRegion > 1
-	Earl_of_Skane_trigger	CharacterTurnEndInSettlement	Earl_of_Skane	100	IsGeneral	FactionCultureType northern_european, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Earl_of_Skane, EndedInSettlement, SettlementName Lund_Province,  TimeInRegion > 1
-	Earl_of_the_EastGeats_trigger	CharacterTurnEndInSettlement	Earl_of_the_EastGeats	100	IsGeneral	FactionCultureType northern_european, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Earl_of_the_EastGeats, EndedInSettlement, SettlementName Linkoping_Province, TimeInRegion > 1
-	Earl_of_the_WestGeats_trigger	CharacterTurnEndInSettlement	Earl_of_the_WestGeats	100	IsGeneral	FactionCultureType northern_european, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Earl_of_the_WestGeats, EndedInSettlement, SettlementName Skara_Province, TimeInRegion > 1
						
-	Emperor_and_Autocrat_of_the_Romans_trigger	CharacterTurnEndInSettlement	Emperor_and_Autocrat_of_the_Romans	100	IsFactionLeader	FactionType byzantium, EndedInSettlement, SettlementName Constantinople_Province,
-	Emperor_of_all_Spain_trigger	CharacterTurnEndInSettlement	Emperor_of_all_Spain	100	IsFactionLeader	FactionType spain, I_SettlementOwner Leon_Province = spain, I_SettlementOwner Burgos_Province = spain, I_SettlementOwner Santiago_Province = spain, I_SettlementOwner Toledo_Province = spain, I_SettlementOwner Saragossa_Province = spain,  Attribute Authority>= 5,
-	Emperor_to_be_trigger	BecomesFactionHeir	Emperor_to_be	100	IsFactionHeir	 FactionType hre, FatherAnc Holy_Roman_Emperor, not FactionwideAncillaryExists Emperor_to_be
-	Emperors_Mark_trigger	BecomesFactionLeader	Emperors_Mark	100	IsFactionLeader	FactionType byzantium, not FactionwideAncillaryExists Emperors_Mark
-	English_high_Judge_trigger	CharacterTurnEndInSettlement	English_high_Judge	70	IsGeneral	 FactionType england, not IsFactionLeader, not IsFactionHeir, not HasAncType politics, Attribute piety>= 3, Attribute Authority>= 2,  not FactionwideAncillaryExists English_high_Judge,
-	Episcopal_General_trigger	CharacterTurnEndInSettlement	Episcopal_General	70	IsGeneral	FactionType milan, not IsFactionLeader, not IsFactionHeir, Attribute piety>= 3, not HasAncType politics, EndedInSettlement, SettlementBuildingExists = bishopric, 
-	Eternal_King_of_norway_trigger	CharacterTurnEndInSettlement	Eternal_King_of_norway	100	IsFactionLeader	FactionType norway, Attribute Authority >= 7, Attribute Command>= 7, I_SettlementOwner Skalholt_Province= norway, I_SettlementOwner Bergen_Province= norway, I_SettlementOwner Trondheim_Province= norway, I_SettlementOwner Kirkwall_Province= norway
-	French_Chancellor_trigger	CharacterTurnEndInSettlement	French_Chancellor	70	IsGeneral	FactionType france, not IsFactionLeader, not IsFactionHeir, not HasAncType politics, Attribute Loyalty >= 5,  not FactionwideAncillaryExists French_Chancellor
-	General_Logothetes_trigger	CharacterTurnEndInSettlement	General_Logothetes	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, not HasAncType politics, EndedInSettlement, SettlementName Constantinople_Province, Attribute Command>= 3, Attribute Loyalty >= 5,  not FactionwideAncillaryExists General_Logothetes
-	Genghis_Khan_trigger	FactionTurnStart cumans	Genghis_Khan	100	IsFactionLeader	FactionType cumans, Attribute Authority >= 4, Attribute Command>= 4, Attribute piety>= 2, I_NumberOfSettlements cumans> 4,
-	Georgian_Prime_Minister_trigger	CharacterTurnEndInSettlement	Georgian_Prime_Minister	70	IsGeneral	FactionType georgia, not IsFactionLeader, not IsFactionHeir, not HasAncType politics,  Attribute Loyalty >= 5, Attribute Authority >= 1, not FactionwideAncillaryExists Georgian_Prime_Minister, EndedInSettlement, SettlementBuildingExists = Sakargavi
-	Gonfalarius_nor_trigger	PostBattle	Gonfalarius_nor	70	IsGeneral	FactionType norway, not IsFactionLeader, not IsFactionHeir, not HasAncType politics, Attribute Loyalty >= 5, Attribute Command>= 3,  not FactionwideAncillaryExists Gonfalarius_nor
-	Gonfalarius_swe_trigger	PostBattle	Gonfalarius_swe	70	IsGeneral	FactionType sweden, not IsFactionLeader, not IsFactionHeir, not HasAncType politics, Attribute Loyalty >= 5, Attribute Command>= 3,  not FactionwideAncillaryExists Gonfalarius_swe,
-	Gonfaloniere_of_Justice_trigger	PostBattle	Gonfaloniere_of_Justice	70	IsGeneral	FactionReligion catholic,  not IsFactionLeader, not HasAncType politics,  Attribute piety>= 3, Attribute Authority>= 1,  not FactionwideAncillaryExists Gonfaloniere_of_Justice, Attribute Loyalty >= 5,  EndedInSettlement, SettlementName Florence_Province, SettlementBuildingExists Priori_della,
-	Gonfanonier_trigger	CharacterTurnEndInSettlement	Gonfanonier	20	IsGeneral	FactionReligion catholic, not HasAncType Religion, FactionBuildingExists templar, Attribute Command >= 3, not WorldwideAncillaryExists Gonfanonier
-	Governor_of_Finland_trigger	CharacterTurnEndInSettlement	Governor_of_Finland	100	IsGeneral	FactionReligion catholic,  EndedInSettlement, SettlementName Turku_Province, TimeInRegion > 1, Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Governor_of_Finland
-	Grand_Doux_trigger	CharacterTurnEndInSettlement	Grand_Doux	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType byzantium, Attribute Loyalty >= 6, Attribute Command>= 3,  Attribute Authority>= 3,  EndedInSettlement, SettlementName Constantinople_Province, not FactionwideAncillaryExists Grand_Doux, TimeInRegion > 2,
-	Grand_Duke_of_Aquitaine_trigger	CharacterTurnEndInSettlement	Grand_Duke_of_Aquitaine	100	IsGeneral	FactionReligion catholic, Attribute Command>= 2, Attribute Authority>= 2, EndedInSettlement, SettlementName Bordeaux_Province, TimeInRegion > 3, not WorldwideAncillaryExists Grand_Duke_of_Aquitaine
-	Grand_duke_of_the_Letts_trigger	BecomesFactionLeader	Grand_duke_of_the_Letts	100	IsFactionLeader	FactionType lithuania, Attribute Command>= 4,  Attribute Authority>= 3,  not FactionwideAncillaryExists Grand_duke_of_the_Letts
-	Grand_duke_trigger	CharacterTurnEndInSettlement	Grand_duke	100	IsGeneral	FactionType hungary,  not IsFactionLeader, Attribute Loyalty >= 3, Attribute Command>= 3,  Attribute Authority>= 2, SettlementBuildingExists = noble_counties 
-	Grand_Logothete_trigger	CharacterTurnEndInSettlement	Grand_Logothete	70	IsGeneral	not IsFactionLeader, FactionType byzantium, not HasAncType politics, Attribute Loyalty >= 6, EndedInSettlement, SettlementName Constantinople_Province, not FactionwideAncillaryExists Grand_Logothete, TimeInRegion > 2,
-	Grand_Marshall_trigger	PostBattle	Grand_Marshall	70	IsGeneral	FactionType armenia, Attribute Loyalty >= 6, Attribute Command>= 4,  Attribute Authority>= 1,not FactionwideAncillaryExists Grand_Marshall
-	Grand_Master_of_Arms_trigger	PostBattle	Grand_Master_of_Arms	70	IsGeneral	FactionType france, not IsFactionLeader, not IsFactionHeir, not HasAncType politics,  Attribute Command>= 4, Attribute Authority>= 1, Attribute Loyalty >= 4, not FactionwideAncillaryExists Grand_Master_of_Arms
-	grand_master_of_the_order_of_saint_george_hungary_trigger	CharacterTurnEndInSettlement	grand_master_of_the_order_of_saint_george_hungary	100	IsFactionLeader	FactionType hungary, I_TurnNumber  >= 496
-	grand_master_of_the_order_of_the_dragon_trigger	CharacterTurnEndInSettlement	grand_master_of_the_order_of_the_dragon	100	IsFactionLeader	FactionReligion catholic, FactionType hungary,  I_TurnNumber  >= 656, Attribute piety >= 3, Attribute piety >= 2
-	Grand_Prince_of_Kiev_trigger	CharacterTurnEndInSettlement	Grand_Prince_of_Kiev	100	IsFactionLeader	FactionCultureType eastern_european, EndedInSettlement, SettlementName Kiev_Province, not FactionwideAncillaryExists Grand_Prince_of_Kiev, TimeInRegion > 1,
-	Grand_Prince_of_novgorod_trigger	CharacterTurnEndInSettlement	Grand_Prince_of_novgorod	100	IsFactionLeader	FactionCultureType eastern_european, EndedInSettlement, SettlementName Novgorod_Province, not FactionwideAncillaryExists Grand_Prince_of_novgorod, TimeInRegion > 1,
-	Grand_Vizier_trigger	CharacterTurnEndInSettlement	Grand_Vizier	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType turks, not HasAncType politics, Attribute Authority>= 2, Attribute piety>= 3, not FactionwideAncillaryExists Grand_Vizier
-	Grandmaster_of_Santiago_trigger	PostBattle	Grandmaster_of_Santiago	50	IsGeneral	FactionReligion catholic, not IsFactionLeader, not IsFactionHeir, FactionType spain, Attribute piety >= 4, Attribute Command>= 4,  Attribute Authority>= 2, not FactionwideAncillaryExists Grandmaster_of_Santiago, FactionBuildingExists santiago
-	Grandmaster_of_the_Hospitallers_trigger	PostBattle	Grandmaster_of_the_Hospitallers	20	IsGeneral	FactionReligion catholic, not IsFactionLeader, not IsFactionHeir, Attribute piety >= 4, Attribute Command>= 4,  Attribute Authority>= 3, not WorldwideAncillaryExists Grandmaster_of_the_Hospitallers, FactionBuildingExists hospitaller
-	Grandmaster_of_the_Sword_trigger	PostBattle	Grandmaster_of_the_Sword	100	IsFactionLeader	FactionType armenia, EndedInSettlement, SettlementName Nicosia_Province, not FactionwideAncillaryExists Grandmaster_of_the_Sword, TimeInRegion >=3
-	Grandmaster_of_the_Templars_trigger	PostBattle	Grandmaster_of_the_Templars	50	IsGeneral	FactionReligion catholic, not IsFactionLeader, not IsFactionHeir, Attribute piety >= 4, Attribute Command>= 4,  Attribute Authority>= 3,  not FactionwideAncillaryExists Grandmaster_of_the_Templars, FactionBuildingExists templar_bank
-	Grandmaster_of_the_Teutonic_order_trigger	PostBattle	Grandmaster_of_the_Teutonic_order	50	IsGeneral	FactionType hre, not IsFactionLeader, not IsFactionHeir, Attribute piety >= 4, Attribute Command>= 4,  Attribute Authority>= 4,  not FactionwideAncillaryExists Grandmaster_of_the_Teutonic_order, FactionBuildingExists noble_county
-	Great_chancellor_of_Lithuania_trigger	CharacterTurnEndInSettlement	Great_chancellor_of_Lithuania	70	IsFactionLeader	not IsFactionLeader, not IsFactionHeir, FactionType poland, not HasAncType politics, Attribute Loyalty >= 5, not FactionwideAncillaryExists Great_chancellor_of_Lithuania
-	Great_chancellor_of_the_Crown_trigger	CharacterTurnEndInSettlement	Great_chancellor_of_the_Crown	70	IsFactionLeader	not IsFactionLeader, not IsFactionHeir, FactionType poland, not HasAncType politics, Attribute Loyalty >= 5, not FactionwideAncillaryExists Great_chancellor_of_the_Crown
-	Great_King_of_Sicily_trigger	BecomesFactionLeader	Great_King_of_Sicily	100	IsFactionLeader	FactionType sicily, Attribute piety>= 4, Attribute Command>= 5,  Attribute Authority>= 5, I_SettlementOwner Palermo_Province= sicily, I_SettlementOwner Taranto_Province= sicily, I_SettlementOwner Naples_Province= sicily, I_SettlementOwner Melfi_Province= sicily,
-	Great_seal_of_Scotland_trigger	CharacterTurnEndInSettlement	Great_seal_of_Scotland	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionCultureType northern_european, Attribute Loyalty >= 5, EndedInSettlement, SettlementName Perth_Province, not FactionwideAncillaryExists Great_seal_of_Scotland
-	Grosshospittler_trigger	CharacterTurnEndInSettlement	Grosshospittler	100	IsGeneral	FactionType hre, not HasAncType Religion, SettlementBuildingExists noble_district
-	Grosskomtur_trigger	CharacterTurnEndInSettlement	Grosskomtur	100	IsGeneral	FactionType hre, not HasAncType Religion, SettlementBuildingExists noble_district
-	Grosstressler_trigger	CharacterTurnEndInSettlement	Grosstressler	100	IsGeneral	FactionType hre, not HasAncType Religion, SettlementBuildingExists noble_district
-	Guardian_of_Scotland_trigger	PostBattle	Guardian_of_Scotland	70	IsGeneral	not IsFactionLeader, FactionType scotland,  Attribute Command >= 7, Attribute Loyalty >= 6, 
-	Head_of_Intelligence_and_Investigation_Services_trigger	CharacterTurnEndInSettlement	Head_of_Intelligence_and_Investigation_Services	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionCultureType middle_eastern, not HasAncType politics, not FactionwideAncillaryExists Head_of_Intelligence_and_Investigation_Services, not FactionType slave, Attribute Loyalty >= 5, FactionBuildingExists Diwan_alAzim
-	Head_of_Military_Intelligence_trigger	CharacterTurnEndInSettlement	Head_of_Military_Intelligence	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionCultureType middle_eastern, not HasAncType politics, not FactionwideAncillaryExists Head_of_Military_Intelligence, not FactionType slave, Attribute Loyalty >= 5, FactionBuildingExists laskar_al_dawla
-	Heir_of_an_Emir_trigger	CharacterComesOfAge	Heir_of_an_Emir	100	IsGeneral	FactionCultureType middle_eastern, FatherAnc Muslim_prince, not HasAncType Security
-	Heir_of_Armenia_trigger	CharacterComesOfAge	Heir_of_Armenia	100	IsGeneral	FactionType armenia, FatherAnc King_of_Armenia, Attribute Loyalty >= 3, 
-	high_Consul_of_the_Genoese_army_trigger	CharacterTurnEndInSettlement	high_Consul_of_the_Genoese_army	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType milan, not HasAncType politics, Attribute Command>= 4,  Attribute Authority>= 2, Attribute Loyalty >= 5, EndedInSettlement, SettlementName Genoa_Province,  not FactionwideAncillaryExists high_Consul_of_the_Genoese_army
-	high_Judge_of_Scotland_trigger	CharacterTurnEndInSettlement	high_Judge_of_Scotland	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, not HasAncType politics, Attribute piety>= 4,  Attribute Authority>= 2, not FactionwideAncillaryExists high_Judge_of_Scotland, FactionType scotland, EndedInSettlement, SettlementName Perth_Province, 
-	high_King_of_Ireland_trigger	CharacterTurnEndInSettlement	high_King_of_Ireland	70	IsGeneral	FactionType slave, Attribute Command>= 5, not FactionwideAncillaryExists high_King_of_Ireland,  EndedInSettlement, SettlementName Tuam_Province, 
-	high_Priest_trigger	BecomesFactionLeader	high_Priest	100	IsFactionLeader	FactionType lithuania, FactionBuildingExists Alkas, not FactionwideAncillaryExists high_Priest
-	highest_Burgrave_of_Prague_trigger	CharacterTurnEndInSettlement	highest_Burgrave_of_Prague	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType bohemia, not HasAncType politics,  not FactionwideAncillaryExists highest_Burgrave_of_Prague,  Attribute Loyalty >= 5, Attribute Command >= 3, EndedInSettlement, SettlementName Prague_Province
-	highest_Chamberlain_trigger	CharacterTurnEndInSettlement	highest_Chamberlain	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType bohemia, not HasAncType politics,  not FactionwideAncillaryExists highest_Chamberlain,  Attribute Loyalty >= 5, EndedInSettlement, SettlementName Prague_Province
-	highest_Chancellor_trigger	CharacterTurnEndInSettlement	highest_Chancellor	70	IsFactionLeader	not IsFactionLeader, not IsFactionHeir, FactionType bohemia, not HasAncType politics,  not FactionwideAncillaryExists highest_Chancellor
-	highest_judge_for_Bohemia_trigger	CharacterTurnEndInSettlement	highest_judge_for_Bohemia	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType bohemia, not HasAncType politics,  not FactionwideAncillary Exists highest_judge_for_Bohemia,  Attribute Authority>= 3, Attribute Loyalty >= 3, EndedInSettlement, SettlementName Prague_Province
-	highest_Marshall_trigger	PostBattle	highest_Marshall	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType bohemia, not HasAncType politics,  not FactionwideAncillaryExists highest_Marshall,  Attribute Loyalty >= 3, Attribute Command >= 5
-	Hird_Leader_trigger	PostBattle	Hird_Leader	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType norway, not HasAncType politics, Attribute Loyalty >= 6, Attribute Command>= 2,  Attribute Authority>= 1,  not FactionwideAncillaryExists Hird_Leader
-	Hochmeister_trigger	CharacterTurnEndInSettlement	Hochmeister	100	IsGeneral	FactionType hre, not HasAncType Religion, SettlementBuildingExists noble_district, Attribute Loyalty >= 4, Attribute Command>= 1, Attribute Authority>= 1,
-	Holy_Roman_Emperor_trigger	CharacterTurnEndInSettlement	Holy_Roman_Emperor	100	IsFactionLeader	Attribute Authority >= 5, Attribute piety >= 5, I_CharacterTypeNearTile hre named_character, 3 204,203, not FactionExcommunicated, FactionType hre, FactionStanding > 5.0 papal_states, 
-	hungarian_chancellor_trigger	CharacterTurnEndInSettlement	hungarian_chancellor	100	IsFactionLeader	FactionType hungary, not FactionwideAncillaryExists hungarian_chancellor 
-	hungarian_chapel_bailiff_trigger	CharacterTurnEndInSettlement	hungarian_chapel_bailiff	100	IsFactionLeader	FactionType hungary, not FactionwideAncillaryExists hungarian_chapel_bailiff,  I_TurnNumber  <= 480
-	hungarian_comes_castrum_trigger	CharacterTurnEndInSettlement	hungarian_comes_castrum	100	IsGeneral	FactionType hungary, not IsFactionLeader, not IsFactionHeir, FactionBuildingExists = border_earldoms, Attribute Authority >= 3, Attribute Command >= 2
-	hungarian_count_of_the_pechenegs_trigger	CharacterTurnEndInSettlement	hungarian_count_of_the_pechenegs	100	IsGeneral	FactionType hungary, not IsFactionLeader, not IsFactionHeir, not HasAncType politics, FactionBuildingExists = steppe_counties, not FactionwideAncillaryExists hungarian_count_of_the_pechenegs, Attribute Command >= 3, Attribute Loyalty >= 3, Attribute Authority >= 3 
-	Hungarian_Count_Palatine_trigger	CharacterTurnEndInSettlement	Hungarian_Count_Palatine	100	IsGeneral	FactionType hungary, not IsFactionLeader, not IsFactionHeir, Attribute Command>= 4, Attribute Loyalty >= 5, Attribute Authority >= 2,  not FactionwideAncillaryExists Hungarian_Count_Palatine
-	Hungarian_Count_trigger	CharacterTurnEndInSettlement	Hungarian_Count	100	IsGeneral	FactionType hungary, not IsFactionLeader, not IsFactionHeir, Attribute Authority >= 2, Attribute Command >= 1
-	hungarian_factionheir_trigger	CharacterTurnEndInSettlement	hungarian_factionheir	100	IsFactionHeir	FactionType hungary, not FactionwideAncillaryExists hungarian_factionheir
-	hungarian_grand_duke_of_croatia_trigger	CharacterTurnEndInSettlement	hungarian_grand_duke_of_croatia	100	IsGeneral	FactionType hungary not IsFactionLeader, Attribute Authority >= 3, not FactionwideAncillaryExists hungarian_grand_duke_of_croatia, EndedInSettlement, SettlementName Biograd_Province, TimeInRegion >= 10, Attribute Loyalty >= 3
-	hungarian_grand_duke_of_slavonia_trigger	CharacterTurnEndInSettlement	hungarian_grand_duke_of_slavonia	100	IsGeneral	FactionType hungary not IsFactionLeader, Attribute Authority >= 3, not FactionwideAncillaryExists hungarian_grand_duke_of_slavonia, EndedInSettlement, SettlementName Biograd_Province, TimeInRegion >= 10, Attribute Loyalty >= 3
-	hungarian_grand_master_order_of_st_stephen_trigger	CharacterTurnEndInSettlement	hungarian_grand_master_order_of_st_stephen	100	IsGeneral	FactionType hungary, Attribute piety>= 4,  I_TurnNumber  >= 140, not FactionwideAncillaryExists hungarian_grand_master_order_of_st_stephen
