Factions	Character Notes	Sorting Order	Sub Faction	Name	Character Type	Character Gender	Status	Was leader?	age	x	y	Traits	Ancillaries	ARMIES (Max 20 units)
hre	Count of Habsburg, pious	77	-	rWerner_sri	named character	male	-	-	50	173	245	-	-	hre_cav_servants, european_spearmen, european_commoner_spearmen, european_commoner_spearmen, european_archers, european_mounted_sergeants
hre	-	78	-	rOtto_swr von_Habsburg	named character	male	-	-	32	174	287	-	-	european_mounted_sergeants, european_spearmen, european_commoner_spearmen, european_commoner_spearmen, european_archers
hre	Count of Leuven.  landgrave of Brabant, and count of Brussels, the Bearded, the Courageous, or the Great,	79	-	Godfrey_sha von_Leuven	named character	male	-	-	20	156	275	-	-	hre_cav_servants, flemish_pikemen, flemish_pikemen, european_archers, european_mounted_sergeants
hre	Earl of Vaudémont, loyal	80	-	rGerard_mh von_Vaudemont	named character	male	-	-	22	155	268	-	-	hre_cav_servants, european_spearmen, european_commoner_spearmen, european_commoner_spearmen, mercenary_dagger_archers
hre	-	81	-	rDirk_ses von_Horn	named character	male	-	-	23	226	254	-	-	hre_foot_servants
hre	-	82	-	rArnold_ses von_Loon	named character	male	-	-	21	163	272	-	-	hre_foot_servants, european_commoner_spearmen, european_commoner_spearmen
hre	loyal	83	-	rGodefroi_sai von_Namur	named character	male	-	-	13	157	273	-	-	hre_foot_servants
hre	-	85	-	rHeinrich_seh von_Spanheim	named character	male	-	-	15	193	230	-	-	hre_foot_servants, hre_mounted_militia, italian_levies, italian_levies, european_spearmen, european_archers, ravagers, european_archers
hre	Count of Thanning, Count of Ambras, Count of Pustertal, Count of the Upper Isar 	86	-	rOtto_mjr von_Dieben	named character	male	-	-	56	211	239	-	-	european_knights, european_commoner_spearmen, european_commoner_spearmen, european_spearmen, european_commoner_spearmen, european_archers
hre	-	87	-	Otto_soj von_Wolfratshausen	named character	male	-	-	5	193	251	-	-	hre_foot_servants
hre	er Characterlose Babenberg von Bogen, Windberg und Pernegg	88	-	rAdalbert_sea von_Bogen	named character	male	-	-	35	197	262	-	-	hre_cav_servants, european_spearmen, european_commoner_spearmen, european_commoner_spearmen, european_archers
hre	-	89	-	Berthold_sal von_Bogen	named character	male	-	-	8	191	279	-	-	hre_foot_servants
hre	-	91	-	Walther_swh von_Chling	named character	male	-	-	20	169	289	-	-	hre_foot_servants, european_commoner_spearmen, european_commoner_spearmen, european_spearmen, european_commoner_spearmen, european_archers
hre	Count of Alsace-not official	92	-	Dirk_sgh von_Elsass-Lothringen	named character	male	-	-	30	168	266	-	-	european_knights, hre_mounted_militia, hre_mounted_militia, european_militia_spearmen, european_militia_spearmen, european_spearmen, european_archers, european_mounted_sergeants
hre	-	93	-	rFulbert_mo von_Oudenaarde	named character	male	-	-	60	162	284	-	-	hre_foot_servants, european_commoner_spearmen, european_commoner_spearmen
hre	the fat, against Papacy	94	-	Floris_sdo	named character	male	-	-	5	158	285	-	-	european_mounted_sergeants, european_militia_spearmen, european_militia_spearmen, european_archers
hre	-	95	-	Burchard_sba	named character	male	-	-	8	194	229	-	-	hre_foot_servants
hre	-	96	-	rWaleran_sha	named character	male	-	-	5	168	275	-	-	hre_foot_servants
hre	extremely pious (saint),  bishop of Soissons, cowardly, 	97	-	Arnold_sfor von_Soissons	priest	male	-	-	40	144	263	-	-	-
hre	Bishop of Regensburg, monastic, politcaly influential	98	-	Hartwig_rseh von_Spanheim	priest	male	-	-	12	194	265	-	-	-
hre	Bishop of Liège	99	-	Friedrich_rsai von_Namur	priest	male	-	-	8	161	272	-	-	-
hre	Archbishop of Salzburg	100	-	Berchtold_isbt von_Moosburg	priest	male	-	-	31	204	252	-	-	-
hre	Abt von St. Gallen, Gegenabt von Reichenau,  -Patriarch von Aquileia	101	-	Ulrich_rsml von_Eppenstein	priest	male	-	-	25	205	235	-	-	-
hre	Bishop of Maurienn	102	-	Konon_sgbi Etichonid	priest	male	-	-	55	170	228	-	-	-
hre	Bishop of Strasbourg	103	-	Otto_sfhi von_Staufen	priest	male	-	-	31	168	262	-	-	-
hre	Bishop of Konstanz	104	-	Gebhard_sbai	priest	male	-	-	32	174	249	-	-	-
hre	later Archbishop of Cologne	105	-	Frederick_i von_Koln	priest	male	-	-	5	167	268	-	-	-
egypt	-	1	-	Ma_add Al-Mustansir bi-llah	named character	male, leader	-	-	51	322	118	-	-	muslim_general_companions, egyptian_macemen, egyptian_infantry, nubian_archers, egyptian_heavy_guards
egypt	vizier	2	-	Badr al-Jamali	named character	male	-	-	48	320	116	-	-	muslim_general_companions, egyptian_medium_horse_archers, egyptian_medium_horse_archers, nubian_archers, nubian_archers, egyptian_pikemen, egyptian_pikemen, egyptian_pikemen, sudani_heavy_spearmen, sudani_heavy_spearmen, non_mamluk_cavalry, berber_skirmishers, syrian_skirmishers, egyptian_heavy_guards, nubian_spearmen, nubian_spearmen, berber_archers
egypt	-	3	-	Ahmad Al-Mustali	named character	male	-	-	26	326	126	-	-	muslim_general_companions, egyptian_infantry, egyptian_infantry, syrian_skirmishers
egypt	-	4	-	Mansur Al-Mustafa liDinillah	named character	male, heir	-	-	23	318	104	-	-	muslim_general_companions, nubian_spearmen, nubian_archers, egyptian_infantry, egyptian_infantry
egypt	-	5	-	al-Afdal al-Jamali_Shahanshah	named character	male	-	-	16	312	126	-	-	muslim_general_companions, egyptian_macemen, egyptian_macemen, nubian_spearmen, berber_archers
egypt	Hamadanid, ruler Sana'a, disloyal	6	-	Krema al-Daula	named character	male	-	-	34	404	20	-	-	muslim_general_retinue, sudani_heavy_spearmen, sudani_heavy_spearmen, nubian_spearmen, nubian_spearmen, nubian_archers, nubian_archers, bedouin_cavalry, bedouin_cavalry
egypt	Hamadanid, disloyal	7	-	Safwan al-Daula	named character	male	-	-	12	406	19	-	-	muslim_general_retinue, egyptian_infantry, bedouin_militia_cav
egypt	king of Makuria	8	-	Salomo	named character	male	-	-	52	319	44	-	-	nubian_noble_cav, nubian_light_infantry, nubian_spearmen, nubian_archers
egypt	-	9	-	Georgios	named character	male	-	-	49	338	36	-	-	nubian_noble_cav, sudani_heavy_spearmen, nubian_light_infantry, nubian_light_infantry, nubian_spearmen, nubian_archers, nubian_archers, nubian_spearmen, egyptian_pikemen, egyptian_medium_horse_archers, egyptian_medium_horse_archers
egypt	-	10	-	Basileios	named character	male	-	-	31	321	44	-	-	nubian_noble_cav, nubian_archers, nubian_archers, nubian_light_infantry, nubian_spearmen, nubian_spearmen
egypt	Sharif of Mecca, disloyal	11	-	Abul-Hashim ibn_Muhammed	named character	male	-	-	41	377	59	-	-	muslim_general_companions, egyptian_infantry, egyptian_pikemen, nubian_archers, non_mamluk_cavalry
egypt	disloyal	12	-	Abul-Hashim Al-Thalab	named character	male	-	-	23	375	80	-	-	muslim_general_companions, egyptian_macemen, syrian_skirmishers, bedouin_militia_cav
egypt	governor of Upper Egypt	13	-	Saad al-Kawasi	named character	male	-	-	36	331	90	-	-	muslim_general_companions, egyptian_infantry, nubian_archers, nubian_archers, nubian_spearmen, nubian_spearmen, sudani_heavy_spearmen, non_mamluk_cavalry
egypt	unhistorical, governor Barqa	14	-	Hamdan	named character	male	-	-	28	256	134	-	-	muslim_general_companions, egyptian_macemen, egyptian_medium_horse_archers
egypt	unhistorical, governor Tunisia	15	-	Hasanuya	named character	male	-	-	26	209	137	-	-	muslim_general_companions, egyptian_infantry, berber_skirmishers, berber_skirmishers, muslim_heavy_crossbowmen
egypt	-	16	-	Ali az-Zahir	character_record	male	dead 44	past_leader	75	-	-	-	-	-
egypt	-	17	-	Fadya	character_record	female	dead 23	never_a_leader	70	-	-	-	-	-
egypt	-	18	-	Layla	character_record	female	alive	never_a_leader	46	-	-	-	-	-
egypt	-	19	-	Hiba	character_record	female	alive	never_a_leader	43	-	-	-	-	-
egypt	-	20	-	Sahr	character_record	female	alive	never_a_leader	18	-	-	-	-	-
egypt	-	21	-	Al-Amir bi_Ahkami l-Lah	character_record	male	alive	never_a_leader	1	-	-	-	-	-
egypt	-	22	-	Rabia	character_record	female	alive	never_a_leader	19	-	-	-	-	-
egypt	-	23	-	Al-Hadi Nizar	character_record	male	alive	never_a_leader	2	-	-	-	-	-
egypt	-	24	-	Al-Hafiz	character_record	male	alive	never_a_leader	1	-	-	-	-	-
egypt	-	25	-	Nawal	character_record	female	alive	never_a_leader	16	-	-	-	-	-
egypt	-	26	-	Ali bin_AlAfdal	character_record	male	alive	never_a_leader	1	-	-	-	-	-
egypt	-	27	-	Qaribah	character_record	female	alive	never_a_leader	50	-	-	-	-	-
egypt	-	28	-	Hafsah	character_record	female	alive	never_a_leader	43	-	-	-	-	-
egypt	-	29	-	Luluah	character_record	female	alive	never_a_leader	20	-	-	-	-	-
egypt	-	30	-	Nadrah	character_record	female	alive	never_a_leader	25	-	-	-	-	-
egypt	-	31	-	Georgios_i	character_record	male	alive	never_a_leader	0	-	-	-	-	-
georgia	-	1	-	Giorgi_II Bagrationi	named character	male, leader	-	-	26	385	208	-	-	georgian_bodyguards, georgian_archers, georgian_archers, georgian_feudal_cav, georgian_light_archers, georgian_skirmishers, georgian_skirmishers, georgian_horse_archers, georgian_horse_archers, european_armoured_infantry, georgian_spearmen, georgian_spearmen, georgian_spearmen
georgia	-	2	-	Davit_Giorgi Bagrationi	named character	male, heir	-	-	7	383	209	-	-	georgian_bodyguards, georgian_light_archers, georgian_garrison_spearmen, georgian_garrison_spearmen
georgia	-	3	-	Marta_Bagrat Bagrationi	princess	female	-	-	28	382	209	-	-	-
georgia	-	4	-	Bagrat_II Bagrationi	character_record	male	dead 86	never_a_leader	150	-	-	-	-	-
georgia	-	5	-	Elena	character_record	female	dead 90	never_a_leader	150	-	-	-	-	-
georgia	-	6	-	Gurgen_I Bagrationi	character_record	male	dead 72	never_a_leader	120	-	-	-	-	-
georgia	-	7	-	Gurandukt_A	character_record	female	dead 70	never_a_leader	120	-	-	-	-	-
georgia	-	8	-	Bagrat_III Bagrationi	character_record	male	dead 66	never_a_leader	100	-	-	-	-	-
georgia	-	9	-	Martha	character_record	female	dead 60	never_a_leader	100	-	-	-	-	-
georgia	-	10	-	Giorgi_I Bagrationi	character_record	male	dead 53	never_a_leader	85	-	-	-	-	-
georgia	-	11	-	Mariam_V	character_record	female	dead 5	never_a_leader	85	-	-	-	-	-
georgia	-	12	-	Bagrat_IV Bagrationi	character_record	male	dead 8	never_a_leader	70	-	-	-	-	-
georgia	-	13	-	Marta_Giorgi Bagrationi	character_record	female	dead 17	never_a_leader	69	-	-	-	-	-
georgia	-	14	-	Kata_Giorgi Bagrationi	character_record	female	dead 13	never_a_leader	68	-	-	-	-	-
georgia	-	15	-	Demetre_Giorgi Bagrationi	character_record	male	dead 27	never_a_leader	67	-	-	-	-	-
georgia	-	16	-	Borena_A	character_record	female	dead 0	never_a_leader	39	-	-	-	-	-
georgia	-	17	-	Maria_Bagrat Bagrationi	character_record	female	off_map	never_a_leader	27	-	-	-	-	-
georgia	-	18	-	Chiora	character_record	female	off_map	never_a_leader	60	-	-	-	-	-
georgia	-	19	-	E_Michael_VII_D	character_record	male	off_map	never_a_leader	30	-	-	-	-	-
georgia	-	20	-	Davit	character_record	male	off_map	never_a_leader	38	-	-	-	-	-
georgia	-	21	-	Helena	character_record	female	alive	never_a_leader	32	-	-	-	-	-
georgia	-	22	-	Dedisimedi	character_record	female	off_map	never_a_leader	39	-	-	-	-	-
georgia	-	23	-	Aton	character_record	male	off_map	never_a_leader	20	-	-	-	-	-
georgia	-	24	-	Asmat	character_record	female	off_map	never_a_leader	23	-	-	-	-	-
georgia	-	25	-	Jadaron	character_record	male	off_map	never_a_leader	5	-	-	-	-	-
moors	-	19	-	Yusuf ibn_Tashfin	named character	male, leader	-	-	40	118	153	-	Yusef_Tashfin_Bio	muslim_general_companions, moorish_black_guards, berber_skirmishers, berber_skirmishers, berber_archers, berber_archers, berber_archers, sanhaja_nobles, moorish_pikemen, moorish_pikemen, sanhaja_spearmen, sanhaja_spearmen, european_armoured_infantry, european_armoured_infantry, moorish_heavy_crossbowmen, moorish_heavy_crossbowmen, bedouin_cavalry
moors	-	20	-	Ibrahim_i	named character	male	-	-	39	142	164	-	-	muslim_general_retinue, berber_skirmishers, berber_skirmishers, berber_archers, berber_archers, berber_pirate_skirmishers, berber_pirate_skirmishers, moorish_pikemen, moorish_pikemen, sanhaja_spearmen, european_armoured_infantry, moorish_heavy_crossbowmen, moorish_heavy_crossbowmen, bedouin_cavalry
moors	-	21	-	Abu_Bakr ibn_Umar	named character	male	-	-	45	69	27	-	Abu_Bakr_Bio	moorish_black_guards, berber_skirmishers, berber_skirmishers, berber_archers, berber_archers, berber_archers, sanhaja_nobles, sanhaja_spearmen, sanhaja_spearmen, sanhaja_spearmen, moorish_pikemen, bedouin_cavalry, european_armoured_infantry, bedouin_cavalry, moorish_heavy_crossbowmen, moorish_heavy_crossbowmen
moors	-	22	-	Ali_i	named character	male	-	-	36	96	161	-	-	muslim_general_retinue, berber_pirate_skirmishers, sanhaja_spearmen, moorish_pikemen, moorish_pikemen, muslim_heavy_crossbowmen, berber_skirmishers, berber_skirmishers, berber_archers
moors	-	23	-	Mazdali	named character	male	-	-	41	151	144	-	-	muslim_general_retinue, sanhaja_spearmen, moorish_pikemen, moorish_pikemen, moorish_pikemen, european_archers, berber_skirmishers, berber_skirmishers, berber_archers, berber_archers
moors	-	24	-	Ali ibn_Yusuf	named character	male, heir	-	-	7	80	128	-	-	muslim_general_companions, sanhaja_spearmen, sanhaja_spearmen, berber_skirmishers, berber_archers
moors	-	25	-	Muhammad ibn_Aisha	named character	male	-	-	5	98	145	-	-	muslim_general_companions, sanhaja_spearmen, moorish_pikemen, berber_skirmishers, muslim_heavy_crossbowmen
moors	-	26	-	Abu_Bakr_i	named character	male	-	-	12	120	151	-	-	muslim_general_retinue, moorish_pikemen, moorish_pikemen, berber_skirmishers, berber_archers
moors	-	27	-	Sir	named character	male	-	-	19	63	32	-	-	muslim_general_companions, european_militia_spearmen, moorish_pikemen,  moorish_heavy_crossbowmen, berber_skirmishers, berber_archers
moors	-	28	-	Yahya ibn_Aisha	named character	male	-	-	21	46	30	-	-	moorish_black_guards, berber_skirmishers, berber_skirmishers, berber_archers, berber_archers, sanhaja_nobles, sanhaja_spearmen, sanhaja_spearmen, moorish_heavy_crossbowmen
moors	-	29	-	Ibrahim_iii	named character	male	-	-	16	52	51	-	-	moorish_black_guards, sanhaja_spearmen, sanhaja_spearmen
moors	-	30	-	Muhammad_ii	named character	male	-	-	19	69	39	-	-	moorish_black_guards, berber_archers, sanhaja_spearmen, sanhaja_spearmen, bedouin_cavalry, bedouin_cavalry
moors	-	31	-	Ali_ii	named character	male	-	-	16	47	53	-	-	muslim_general_retinue, sanhaja_spearmen, moorish_pikemen
moors	-	32	-	Isa	named character	male	-	-	10	82	127	-	-	muslim_general_retinue, moorish_pikemen, berber_skirmishers
moors	-	33	-	Yahya	named character	male	-	-	8	96	159	-	-	muslim_general_retinue, sanhaja_spearmen, moorish_pikemen
moors	-	34	-	Muhammad_iii	named character	male	-	-	5	103	125	-	-	muslim_general_retinue, moorish_pikemen, berber_skirmishers, berber_archers
moors	-	35	-	Turgut al-Lamtuni	character_record	male	dead 81	never_a_leader	140	-	-	-	-	-
moors	-	36	-	Saduf	character_record	female	dead 74	never_a_leader	140	-	-	-	-	-
moors	-	37	-	Ibrahim Talagagin	character_record	male	dead 42	never_a_leader	120	-	-	-	-	-
moors	-	38	-	Muhammad	character_record	male	dead 46	never_a_leader	119	-	-	-	-	-
moors	-	39	-	Hamid	character_record	male	dead 34	never_a_leader	118	-	-	-	-	-
moors	-	40	-	Warwar	character_record	female	dead 47	never_a_leader	120	-	-	-	-	-
moors	-	41	-	Tashfin	character_record	male	dead 17	never_a_leader	85	-	-	-	-	-
moors	-	42	-	Ali	character_record	male	dead 28	never_a_leader	84	-	-	-	-	-
moors	-	43	-	Umar	character_record	male	dead 20	never_a_leader	83	-	-	-	-	-
moors	-	44	-	Ruqayyah	character_record	female	dead 35	never_a_leader	119	-	-	-	-	-
moors	-	45	-	al-Hajj	character_record	male	dead 14	never_a_leader	85	-	-	-	-	-
moors	-	46	-	Num	character_record	female	dead 27	never_a_leader	118	-	-	-	-	-
moors	-	47	-	Tilankan	character_record	male	dead 15	never_a_leader	85	-	-	-	-	-
moors	-	48	-	Azzah	character_record	female	dead 20	never_a_leader	85	-	-	-	-	-
moors	-	49	-	Abu_Bakr ibn_Tashfin	character_record	male	dead 12	never_a_leader	36	-	-	-	-	-
moors	-	50	-	Daifa	character_record	female	dead 13	never_a_leader	83	-	-	-	-	-
moors	-	51	-	Yahya al-Lamtuni	character_record	male	dead 24	never_a_leader	54	-	-	-	-	-
moors	-	52	-	Hababah	character_record	female	dead 8	never_a_leader	85	-	-	-	-	-
moors	-	53	-	Muhammad_i	character_record	male	dead 7	never_a_leader	35	-	-	-	-	-
moors	-	54	-	Dananir	character_record	female	alive	never_a_leader	59	-	-	-	-	-
moors	-	55	-	Zaynab an_Nafzawiyyat	character_record	female	alive	never_a_leader	42	-	-	-	-	-
moors	-	56	-	Dawud ibn_Aisha	character_record	female	alive	never_a_leader	3	-	-	-	-	-
moors	-	57	-	Ghaniyah	character_record	female	alive	never_a_leader	35	-	-	-	-	-
moors	-	58	-	Ibrahim_ii	character_record	male	alive	never_a_leader	3	-	-	-	-	-
moors	-	59	-	Ijliyah	character_record	female	alive	never_a_leader	37	-	-	-	-	-
moors	-	60	-	Maryam	character_record	female	alive	never_a_leader	46	-	-	-	-	-
moors	-	61	-	Zaynab_i an_Nafzawiyyat	character_record	female	dead 9	never_a_leader	42	-	-	-	-	-
moors	-	62	-	Zubaydah	character_record	female	alive	never_a_leader	24	-	-	-	-	-
moors	-	63	-	Abu_Hafs Umar	character_record	male	alive	never_a_leader	3	-	-	-	-	-
moors	-	64	-	Ulayyah	character_record	female	alive	never_a_leader	32	-	-	-	-	-
moors	-	65	-	Abu_Bakr_ii	character_record	male	alive	never_a_leader	4	-	-	-	-	-
moors	-	66	-	Raful	character_record	female	alive	never_a_leader	18	-	-	-	-	-
moors	-	67	-	Fatima	character_record	female	alive	never_a_leader	1	-	-	-	-	-
moors	-	68	-	Yahya_i	character_record	male	alive	never_a_leader	0	-	-	-	-	-
pisa	FL	1	-	Alberto Visconti	named character	male, leader	-	-	8	190	218	-	-	communes_merchant_cav, communes_infantry, communes_infantry, communes_archers
pisa	-	2	-	Ugo_iii	named character	male	-	-	56	193	225	-	-	feudal_retinue, communes_infantry
pisa	-	3	-	Alberto	named character	male	-	-	54	196	224	-	-	feudal_retinue, communes_archers, communes_infantry, communes_infantry, communes_mounted_sergeants, Scutiferi, italian_archers
pisa	-	4	-	Ubaldo	named character	male	-	-	50	194	216	-	-	feudal_retinue, communes_archers, communes_archers, communes_infantry, communes_mounted_sergeants, Scutiferi, Scutiferi, italian_levies, italian_levies, ravagers, ravagers, italian_archers
pisa	-	5	-	Ranieri Gherardesca	named character	male	-	-	34	183	200	-	-	communes_merchant_cav, communes_archers, communes_infantry, communes_infantry, Scutiferi
pisa	-	6	-	Carlo Gherardesca	named character	male	-	-	15	190	220	-	-	communes_merchant_cav
pisa	-	7	-	Giovannangelo Gherardesca	named character	male	-	-	8	192	219	-	-	communes_merchant_cav
pisa	-	8	-	Ildebrando Pannocchiescha	named character	male	-	-	29	195	226	-	-	european_knights, communes_infantry, Scutiferi, Scutiferi, italian_levies, italian_levies, ravagers, italian_archers
pisa	-	9	-	Uguiccio Tezici	named character	male	-	-	7	191	215	-	-	european_knights
pisa	-	10	-	Ranieri Pannocchiescha	named character	male	-	-	5	195	219	-	-	european_knights, communes_infantry, communes_infantry, communes_archers
pisa	-	11	-	Uberto	named character	male	-	-	28	190	223	-	-	european_knights, communes_mounted_sergeants, communes_mounted_sergeants
pisa	-	12	-	Enrico	named character	male	-	-	24	191	212	-	-	european_knights, Scutiferi, italian_levies, italian_levies, communes_archers
pisa	-	13	-	Orzocorre Torchitorio	named character	male	-	-	46	182	184	-	-	communes_merchant_cav, italian_archers, communes_infantry, communes_mounted_sergeants, Scutiferi, Scutiferi, ravagers, italian_archers, european_spearmen, european_spearmen
pisa	-	14	-	Salusio Torchitorio	named character	male	-	-	27	183	184	-	-	feudal_retinue, italian_levies, italian_levies, communes_mounted_sergeants, communes_mounted_sergeants
slave	Southern France ;count of Foix	1	france	Roger_spl de_Foix	named character	male	-	-	27	136	213	-	-	european_knights
slave	Southern France ; brother of Roger de Foix	2	france	Pierre_spl de_Foix	named character	male	-	-	25	134	214	-	-	european_armoured_infantry
slave	Southern France ; son of Roger de Foix	3	france	Roger de_Foix	named character	male	-	-	6	135	214	-	-	european_knights
slave	Southern France ;viscount of Millau and Lodève, Count of Gevaudan,	4	france	Gilbert_sba de_Gevaudan	named character	male	-	-	15	142	222	-	-	european_knights
slave	Southern France ;Son of  Ermengarde of CARCASSONNE: Countess regnant of Carcassonne, Countess regnant of Razes, Viscountess regnant of Béziers, Viscountess regnant of Agde, Nîmes	5	france	Bernard_sbe Trencavel	named character	male	-	-	10	141	212	-	-	european_knights
slave	Central France ; Count of Roucy. religious warrior. "illustrious". "tyrannical, valiant and turbulent".	6	france	Ebles de_Roucy	named character	male	-	-	40	147	260	-	-	european_knights, mercenary_dagger_archers, norman_cavalry, norman_cavalry, french_levies, french_levies, french_levies, french_foot_sergeants, european_commoner_spearmen, european_spearmen, european_archers, european_archers
slave	Central France ; Son of Ebles de_Roucy	7	france	Guischard de_Roucy	named character	male	-	-	17	146	260	-	-	european_mounted_sergeants, european_commoner_spearmen, european_spearmen, european_archers, mercenary_dagger_archers
slave	Wales ; Prince of Deheubarth	8	england	Rhys ap_Tewdwr	named character	male	-	-	15	101	282	-	-	anglowelsh_cavalry, welsh_horsemen, welsh_infantry
slave	Wales ; aggressive	9	england	Caradog ap_Gruffydd	named character	male	-	-	45	111	282	-	psfanc_Cardiff	anglowelsh_cavalry, european_serfs, welsh_longbowmen, welsh_horsemen, welsh_horsemen, welsh_infantry, welsh_infantry, welsh_longbowmen, welsh_skirmishers, welsh_skirmishers
slave	Wales ; 	10	england	Gruffydd ap_Cynan	named character	male	-	-	25	106	284	-	-	irish_guards, irish_raiders, scandinavian_younger_sons, irish_raiders, scandinavian_mounted_sergeants, irish_infantry, irish_infantry, irish_infantry, scandinavian_longbowmen, scandinavian_longbowmen, irish_skirmishers, irish_skirmishers
slave	Wales ; King of Gwynedd	11	england	Trahaearn ap_Caradog	named character	male	-	-	55	103	296	-	-	welsh_horsemen, welsh_skirmishers, welsh_horsemen, welsh_infantry, welsh_longbowmen
slave	Wales ; prince of Powys	12	england	Cadwgan ap_Bleddyn	named character	male	-	-	28	110	286	-	psfanc_Brecon	anglowelsh_cavalry, welsh_longbowmen, welsh_horsemen, welsh_horsemen, welsh_infantry, welsh_infantry, welsh_longbowmen, welsh_skirmishers, welsh_skirmishers, welsh_skirmishers
slave	Wales 	13	england	Maredudd ap_Bleddyn	named character	male	-	-	33	105	294	-	-	welsh_horsemen, welsh_infantry, welsh_infantry, welsh_longbowmen, welsh_skirmishers
slave	Wales 	14	england	Iorwerth ap_Bleddyn	named character	male	-	-	26	109	295	-	psfanc_Denbigh	welsh_horsemen, welsh_skirmishers, welsh_infantry, welsh_longbowmen, welsh_horsemen, welsh_horsemen, welsh_infantry, welsh_longbowmen, welsh_horsemen
slave	Ireland ; King of Munster, 	15	england	Muirchertach Ua_Briain	named character	male	-	-	30	74	287	-	-	irish_guards, irish_infantry, european_archers, irish_pikemen, irish_pikemen, irish_pikemen, irish_raiders
slave	Ireland ; dux of Waterford	16	england	Diarmait Ua_Briain	named character	male	-	-	20	91	288	-	-	irish_guards, irish_heavy_inf, irish_infantry, irish_infantry, irish_lesser_lords, irish_pikemen, irish_raiders, irish_skirmishers, irish_pikemen, european_archers
slave	Ireland ; Kings of Munster, High King of Ireland	17	england	Toirdhealbhach Ua_Briain	named character	male	-	-	42	80	285	-	psfanc_Cork	irish_guards, irish_heavy_inf, irish_heavy_inf, irish_infantry, irish_infantry, irish_infantry, irish_lesser_lords, irish_pikemen, irish_pikemen, irish_raiders, irish_skirmishers, european_archers, european_archers
slave	Ireland ; Kings of Ailech	18	england	Aed mac_Neill	named character	male	-	-	52	83	308	-	psfanc_Dun_na_nGall	irish_guards, irish_infantry, irish_infantry, irish_skirmishers, irish_raiders, irish_skirmishers, european_archers
slave	Ireland ; Kings of Ailech	19	england	Donnchad mac_Neill	named character	male	-	-	38	84	311	-	-	irish_guards
slave	Ireland ; Kings of Ailech	20	england	Domnall Ua_Lochlainn	named character	male	-	-	32	87	311	-	psfanc_Grianan_Ailigh	irish_foot_sergeants, irish_raiders, irish_skirmishers
slave	Ireland ; Kings of Airgíalla	21	england	Ua Baoigheallain	named character	male	-	-	51	89	305	-	-	irish_guards, irish_heavy_inf, irish_infantry, irish_infantry, irish_lesser_lords, irish_pikemen, irish_pikemen, irish_raiders, irish_skirmishers, european_archers
slave	Ireland ; Kings of Airgíalla	22	england	Aodh Baoigheallain	named character	male	-	-	37	88	302	-	psfanc_Cloughoughter_Castle	irish_guards, irish_pikemen, irish_skirmishers
slave	Ireland ; Kings of Airgíalla	23	england	Ua Ainbhigh	named character	male	-	-	34	88	304	-	-	irish_foot_sergeants, irish_infantry, irish_infantry, irish_pikemen, irish_skirmishers
slave	Ireland ; Kings of Airgíalla	24	england	Cu_Caishil Ua_Cerbail	named character	male	-	-	12	91	305	-	psfanc_Armagh	irish_foot_sergeants
slave	Ireland ; Kings of Airgíalla	25	england	Giolla Ua_hEiccnigh	named character	male	-	-	5	89	306	-	-	irish_guards, irish_raiders, irish_raiders, irish_raiders, irish_skirmishers, irish_skirmishers, anglowelsh_cavalry, irish_infantry
slave	Ireland ; king of Connacht & Breifne	26	england	Aed Ruairc	named character	male	-	-	48	79	298	-	-	irish_guards, irish_heavy_inf, irish_pikemen, irish_lesser_lords, irish_pikemen, irish_pikemen, irish_skirmishers, european_archers
slave	Ireland ; king of Breifne	27	england	Donnchadh Ruairc	named character	male	-	-	30	83	304	-	-	irish_foot_sergeants, irish_heavy_inf, irish_infantry, irish_raiders, irish_raiders, irish_skirmishers, european_archers
slave	Ireland ; royal heir of Connacht	28	england	Ualgharg Ruairc	named character	male	-	-	30	78	296	-	psfanc_Galway	irish_foot_sergeants, irish_infantry, irish_lesser_lords, irish_pikemen, irish_raiders
slave	Ireland ; lord of Ui Briuin and Conmaicne	29	england	Donnchadh_i Ruairc	named character	male	-	-	29	84	305	-	-	irish_lesser_lords, irish_heavy_inf, irish_infantry, irish_lesser_lords, irish_pikemen, irish_pikemen,  european_archers
slave	Ireland ; king of Connacht & Breifne	30	england	Domnall Ruairc	named character	male	-	-	12	82	299	-	-	irish_lesser_lords
slave	Ireland ; lord of Ui Briuin Breifne and Gailenga	31	england	Cathal Ruairc	named character	male	-	-	10	76	300	-	-	irish_lesser_lords, irish_skirmishers
slave	(formerly Domnall which was duplicate name) Ireland ; lord of Ui Briúin (formerly Domnall)	32	england	Ua Ruairc	named character	male	-	-	6	81	304	-	-	irish_guards, irish_skirmishers
slave	Ireland ; Kings of Connacht	33	england	Ruaidri Ua_Conchobai	named character	male	-	-	18	80	298	-	-	irish_guards, irish_heavy_inf, irish_infantry, irish_infantry, irish_skirmishers, european_archers
slave	Ireland ; Kingdom of Dublin	34	england	Enna mac_Diarmata	named character	male	-	-	31	91	298	-	psfanc_Leixlip	irish_guards, irish_pikemen, irish_pikemen, irish_skirmishers, european_archers
slave	Ireland ; Kingdom of Dublin	35	england	Donnchad mac_Domnail	named character	male	-	-	11	93	296	-	-	irish_lesser_lords, irish_raiders, irish_skirmishers
