de_name	de_name_caps	event_name_display	@event_description	de_type	Remove cell before coding	de_date	de_movie	#de_regions	de_position	#de_position_x	#de_position_y
kingdom_of_bohemia			After the long war for independence from the Empire King / Emperor himself has proposed a deal which could not be refused to end this troublesome conflict. Bohemia stays within the Empire but its rulers became hereditory kings, signifying their status within the Empire and starting new era in the history of Bohemia.								
last_message_from_greenland		Last Message From Greenland	Papal records in 1345 receive word from the Bishop of Greenland that his people are too poor to pay their church taxes: the Little Ice Age had hit hard. Around 1350 the Western Settlements were abandoned completely and the population retreated into huddled snowsept villages in the east, forced to eat their own dogs. In 1354 King Magnus of Norway authorizes Powell Knutsson to sail to Greenland to "protect" the Christians there due to in-fighting between Norse pagans and Christians. The grim times of pestilence and hunger no doubt encouraged many to return to the Old Ways, praying for good harvests. Pagans were persecuted, hunted and enslaved, but responded with violence. In 1364 Jacobus Cnoyen, a Dutch merchant at the Norwegian capital reports 2 Greenlandic priests request help from the King. In 1374 the King's Ombudsman sails for Greenland to ascertain why there have been no reports from the colony. In 1378 the last Bishop of Greenland dies, the following year Gottskalks Annals, an Icelandic chronicle, reports that Skraelings (Greenland natives) attacked the Norse Greenlanders at the Eastern Settlement, killing 18 and enslaving 2 boys and a chieftain's wife. In 1400 the last Norwegian Royal governor dies. In 1410 reports reach Iceland of pagan witches being burnt at the stake. Then there was silence. 38 years later, Pope Nicholas V documents that a ship with a mere dozen or so terrified Christians from Greenland has appeared in Europe, asking for asylum and pleading for a priest. If they did tell what had happened in Greenland it was never recorded. Their's would be the last ship ever to leave the colony.			736					
london_tornado		 London Tornado of 1091	October 17 – London Tornado of 1091: A massive tornado is recorded in St Mary-le-Bow of London, England; the storm destroys London Bridge.		disaster	23					
lubeck_rights		Lübeckisches Rech			social effect	292					
lucias_flood		St. Lucia's flood			disaster	414		Ghent_Province, Utrecht_Province, Ribe_Province, Norwich_Province, London_Province			
magdalena_flood		St. Mary Magdalene's flood			disaster	524		Vienna_Province, Cologne_Province, Erfurt_Province, Regensburg_Province, 			
magdeburg_rights		Magdeburger Recht	Magdeburg Rights (German: Magdeburger Recht) or Magdeburg Law were a set of German town laws regulating the degree of internal autonomy within cities and villages granted by a local ruler. Modelled and named after the laws of the German city of Magdeburg and developed during many centuries of the Holy Roman Empire, it was possibly the most important set of Germanic mediæval city laws. Adopted by numerous monarchs in Central and Eastern Europe, the law was a milestone in urbanization of the region and prompted the development of thousands of villages and cities. Apart from Magdeburg itself, notable towns based on Magdeburg Law (or its local variants) were Biecz, Frysztak, Sandomierz, Kraków, Kurów, Minsk, Polotsk, Poznań, Ropczyce, Łódź, Wrocław, Szczecin, Złotoryja, Vilnius, Trakai, Kaunas, Hrodna, Kiev, Lviv, Czernowitz (currently Chernivtsi in Ukraine), Brody, Lutsk, Volodymyr-Volynskyi, Sanok, Sniatyn, and Nizhyn, as well as Bardejov, Humenné and Krupina in present-day Slovakia. Among the most advanced systems of old Germanic law of the time, in the 13th and 14th centuries, Magdeburg rights were granted to more than a hundred cities, in the north and east towards Russia, including Schleswig, Bohemia, Poland, Belarus, especially in Pomerania, Prussia, Lithuania (following the Christianization of Lithuania), Ukraine, and probably Moldavia. In these lands they were mostly known as German or Teutonic law. Since the local tribunal of Magdeburg thus also became the superior court for these towns, Magdeburg, together with Lübeck, practically defined the law of northern Germany, Poland and Lithuania for centuries, being the heart of the most important "family" of city laws.		social effect	340					
magna_carta		Magna Carta			social effect	270					
mandrenke		Grote Mandrenke 			disaster	564		Ghent_Province, Utrecht_Province, Ribe_Province, Norwich_Province, London_Province			
marcellus_flood		St. Marcellus' Flood			disaster	278		Ghent_Province, Utrecht_Province			
massacre_of_the_latins		The Massacre of the Latins 	The Massacre of the Latins occurred in Constantinople, the capital of the Byzantine Empire, in 1182. It was a large-scale massacre of the "Latin" (Roman Catholic) merchants and their families, who at that time dominated the city's maritime trade and financial sector. Although precise numbers are unavailable, the bulk of the Latin community, estimated at over 60,000 at the time,was wiped out or forced to flee. The Genoese and Pisan communities especially were decimated, and some 4,000 survivors were sold as slaves to the Turks. Since the late 11th century, Western merchants, primarily from the Italian city-states of Venice, Genoa and Pisa, had started appearing in the East. The first had been the Venetians, who had secured large-scale trading concessions from Byzantine emperor Alexios I Komnenos. Subsequent extensions of these privileges and Byzantium's own naval impotence at the time resulted in a virtual maritime monopoly and stranglehold over the Empire by the Venetians. Alexios' grandson, Manuel I Komnenos, wishing to reduce their influence, began to reduce the privileges of Venice while concluding agreements with her rivals: Pisa, Genoa and Amalfi. Gradually, all four Italian cities were also allowed to establish their own quarters in the northern part of Constantinople itself, towards the Golden Horn. The predominance of the Italian merchants caused economic and social upheaval in Byzantium: it accelerated the decline of the independent native merchants in favour of big exporters, who became tied with the landed aristocracy, who in turn increasingly amassed large estates. Together with the perceived arrogance of the Italians, it fueled popular resentment amongst the middle and lower classes both in the countryside and in the cities. The religious differences between the two sides, who viewed each other as schismatics, further exacerbated the problem. The Italians proved uncontrollable by imperial authority: in 1162, for instance, the Pisans together with a few Venetians raided the Genoese quarter in Constantinople, causing much damage. Emperor Manuel subsequently expelled most of the Genoese and Pisans from the city, thus giving the Venetians a free hand for several years. In early 1171, however, when the Venetians attacked and largely destroyed the Genoese quarter in Constantinople, the Emperor retaliated by ordering the mass arrest of all Venetians throughout the Empire and the confiscation of their property. A subsequent Venetian expedition in the Aegean failed: a direct assault was impossible due to the strength of the Byzantine forces, and the Venetians agreed to negotiations, which the Emperor stalled intentionally. As talks dragged on through the winter, the Venetian fleet waited at Chios, until an outbreak of the plague forced them to withdraw. The Venetians and the Empire remained at war, with the Venetians prudently avoiding direct confrontation but sponsoring Serb uprisings, besieging Ancona, Byzantium's last stronghold in Italy, and signing a treaty with the Norman Kingdom of Sicily. Relations were only gradually normalized: there is evidence of a treaty in 1179 although a full restoration of relations would only be reached in the mid-1180s. Meanwhile, the Genoese and Pisans profited from the dispute with Venice, but this did not last long, with the rise of the Latin princess Maria of Antioch as regent to her infant son the favouritism towards Italians naturally rose, creating a backlash: being overthrown in April 1182 by Andronikos I Komnenos, who entered the city in a wave of popular support. Almost immediately, the celebrations spilled over into violence towards the hated Latins. The ensuing massacre was indiscriminate: neither women nor children were spared, and the Latin priests and monks received special attention. Cardinal John, the Pope's representative, was beheaded and his head was dragged through the streets tied to the tail of a dog. These events caused great friction between the east and west and the tear in the trade system, particularly breaking the Silk and Spice routes paved the way for the Crusader sacking of Constantinople and subsequent conquest in 1204.		rebel unrest	204					
mongols_arrive_in_russia		Mongol Invasion of the Rus'			spawn	314					
mongols_in_khwarezm		Mongol Invasion of Khwarezm			spawn	278					
national_tournament_activated		National Tournament									
ni_dual_activated		North Italian duel									
nicholas_to_bari		The Remains of St. Nicholas	May 9 – The remains of Saint Nicholas are brought to Bari, Italy by local sailors.		religious	14					
princess_ransom_activated		A princess is taken!									
reconquista_successful		The Reconquest is complete!									
rhineland_massacres		Rhineland massacres	The call for the First Crusade touched off the Rhineland massacres, also known as the German Crusade of 1096, the persecutions of 1096 or Gezeroth Tatenu. As part of this persecution, the destruction of the three towns of Speyer, Worms and Mainz were noted as the "Hurban Shum" (Destruction of Shum). These were new persecutions of the Jews in which peasant crusaders from France and Germany attacked Jewish communities. A number of authors refer to the events as "pogroms". According to David Nirenberg, the events of 1096 in the Rhineland occupy a significant place in modern Jewish historiography and are often presented as the first instance of an antisemitism that would henceforth never be forgotten and whose climax was the Holocaust.		social effect	32					
rise_of_danish_cross		Rise of the Dannebrog	Legend states the origin of the flag as the Battle of Lyndanisse, also known as the Battle of Valdemar (Danish: "Volmerslaget"), near Lyndanisse (Tallinn) in Estonia, on June 15, 1219. Fought by Danish crusaders against pagan Lithuanians. The battle was going badly, and defeat seemed imminent. But then, right when the Danes were about to give up, the flag fell from heaven. Grasping the flag before it could ever touch the ground, the king took it in his hand, and proudly waved it in front of his discouraged troops, giving them hope, and leading them to victory. This legend echoes several similar tales told in connection with nationalism during the Middle Ages usually grounded in crusades, such as the Iberians against the Moors, the English in Jerusalem, the Swedes in Finland, and so on. Many ideas to the origin of the cross colours have been given, one is the crusader cross that was originally designated to the English forces in the Levant, who having Danes in their ranks may have taken it as their own symbol. Another origin might simply be the warbanner of the Holy Roman Empire. The earliest source that indisputably links the red flag with a white cross to a Danish King, and to the realm itself, is found in a Dutch armorial, the "Gelre Armorial" (Dutch: Wapenboek Gelre), written between 1340 and 1370		ancillary unlocked	278					
rise_of_gilles_de_rais 		Gilles de Rais 			character spawn	680					
rise_of_gui_delusignan		Gui deLusignan 	Guy of Lusignan (c. 1150 – 18 July 1194) was a Poitevin knight, son of Hugh VIII of the prominent Lusignan dynasty. He was king of the crusader state of Jerusalem from 1186 to 1192 by right of marriage to Sibylla of Jerusalem, and of Cyprus from 1192 to 1194. Having arrived in the Holy Land in the 1170s, Guy rose to prominence within the royal courts of Baldwin IV before marrying Sybilla in 1180 to prevent a political incident within the kingdom. As Baldwin's health deteriorated, Guy was appointed regent of Jerusalem; upon Sybilla's succession to the throne, Guy was crowned king-consort in 1186. Guy's reign was marked by increased hostilities with the Ayyubids ruled by Saladin, culminating in the disastrous Battle of Hattin in July 1187—during which Guy was captured—and the fall of Jerusalem itself three months later. Following a year of imprisonment in Damascus, Guy was released by Saladin. After being denied entry to Tyre, one of the last crusader strongholds, by Conrad of Montferrat, Guy besieged Acre in 1189. The siege would develop into a rally point for the Third Crusade, led by Philip Augustus of France and Sibylla's cousin Richard the Lionheart. Guy entered a bitter row with Conrad over the kingship of Jerusalem; despite Richard's support for Guy, Conrad was elected king by the nobility of the kingdom. Conrad was assassinated by the Hashshashin days after the election; Richard's and Guy's involvement in the incident is suspected, but unproven. Nevertheless, Guy was compensated for the dispossession of his crown by being given lordship of Cyprus in 1192, which Richard had annexed from the Byzantine Empire en route to the Levant. Guy ruled the Kingdom of Cyprus until his death in 1194, when he was succeeded by his brother Amalric.		character spawn	172					
rise_of_jehan_le_meingre		Jehan le Meingre	Jean II Le Maingre (in Old French, Jehan le Meingre), called Boucicaut (1366-1421) was Marshal of France and a knight renowned for his military skill. He was the son of marshal Jean I Le Maingre, also called Boucicaut. He became a page at the court of Charles VI of France, and at the age of 12 he accompanied Louis II, Duke of Bourbon, in a campaign against Normandy. At age 16 he was knighted by Louis on the eve of the Battle of Roosebeke (November 27, 1382). In 1383 he began the first of his journeys that would take up more than twenty years of his life. In 1384 he undertook his first journey to Prussia, in order to assist the Teutonic Order in their war against the pagan Lithuanians, who would convert to Roman Catholicism in 1386. After some campaigns against the Moors in Spain, and against Toulouse in France he again accompanied the duke of Bourbon, this time to Spain, which had become a secondary battlefield of the Hundred Years' War. From there he travelled for two years through the Balkans, the Near East, and the Holy Land, in the company of his friend Renaud of Roye and later with Philip of Artois, Count of Eu. There, he and his companions composed the Livre des Cent Ballades, a poetical defense of the chaste knight the central figure of chivalry, which Johan Huizinga found a startling contrast with the facts of his military career. In 1390, while the Peace of Leulingen had temporarily interrupted the war with England, Boucicaut took part in the tournament of Saint-Inglevert, where he defeated the most famous English soldiers in single combat. The next year he travelled to Prussia for a third time. Because of his great service in the war against the heathens in Livonia and Prussia, he was named Marshal of France on December 25, 1391, by Charles VI at the cathedral of St. Martin in Tours. In 1396 he was took part in the joint French-Hungarian crusade against the Ottoman Empire, which suffered a heavy defeat on September 28 at the Battle of Nicopolis. He was taken hostage by the Ottoman sultan Bayezid I, but, unlike many of his companions, escaped execution and was eventually ransomed. In 1399, he founded the Emprise de l'Escu vert à la Dame Blanche, a chivalric order inspired by the ideal of courtly love: "one might have supposed him cured of all chivalrous delusions after the catastrophe of Nicopolis", remarked Huizinga. In the same year, he was sent with six ships carrying 1,200 men to assist Byzantine emperor Manuel II Palaeologus against the Ottomans. In 1401, due to his military accomplishments and his knowledge of the east, he was appointed French governor of Genoa, which had fallen to Charles VI in 1396. He successfully repelled an attack from King Janus of Cyprus, who tried to take back the city of Famagusta on Cyprus, which had been captured by Genoa. After some struggles in the Mediterranean the Genoese freed themselves from French rule by 1409. Boucicaut returned to France and became involved in the rivalry between Burgundy and Orléans. In the Battle of Agincourt in 1415 he commanded the French vanguard, but was captured by the English and died six years later in Yorkshire. He was buried in the cathedral of Tours, in his family's chapel, with the epitaph "Grand Constable of the Emperor and of the Empire of Constantinople."		character spawn	604					
rise_of_mansa_sakoura		Mansa Sakoura	Rise of the Mali Emperor Mansa Sakoura, conquering most of western central Africa.		character spawn	410					
rise_of_st_george		Rise of the warbanner of St.George	In England the earliest dedication to George, who was mentioned among the martyrs by Bede, is a church at Fordington, Dorset, that is mentioned in the will of Alfred the Great; "Saint George and his feast day began to gain more widespread fame among all Europeans, however, from the time of the Crusades." The tradition may have had some origins in an older pagan cult connected with the Old English god Thunor, remembered in the name of the weekday Thursday. Like St George, Thunor slew the World-Serpent which is a theme echoed in the eastern cults of Mithras and other warrior sun-gods. The St. George's flag, a red cross on a white field, was adopted by England and the City of London in 1190 for their ships entering the Mediterranean to benefit from the protection of the Genoese fleet during the Crusades and the English Monarch paid an annual tribute to the Doge of Genoa for this privilege.[citation needed] An apparition of George heartened the Franks at the siege of Antioch, 1098, and made a similar appearance the following year at Jerusalem. Chivalric military Order of St. George were established in Aragon (1201), Genoa, Hungary, and by Frederick III, Holy Roman Emperor, and in England the Synod of Oxford, 1222 declared St. George's Day a feast day in the kingdom of England. Edward III put his Order of the Garter under the banner of St. George, probably in 1348. The chronicler Froissart observed the English invoking St. George as a battle cry on several occasions during the Hundred Years' War. In his rise as a national saint George was aided by the very fact that the saint had no legendary connection with England, and no specifically localized shrine, as of Thomas Becket at Canterbury:		ancillary unlocked	220					
rise_of_swedish_cross		Rise of the Korsbaneren        	According to legend the 12th century Swedish king Eric the Holy saw a golden cross in the sky as he landed in Finland during the First Swedish Crusade against the pagans in 1157. Seeing this as a sign from God he adopted the golden cross against a blue background as his banner. It has also been suggested that the Swedish flag might have been a resistance flag against the Danish flag, which is red with a white cross, and which has been known since 1219. According to this theory, the Swedish flag was created during the reign of King Charles Knutsson, who also introduced the Coat of arms of Sweden in 1442. The national coat of arms is a combination of King Albert of Mecklenburg's coat of arms of 1364 and King Magnus Birgersson's coat of arms of 1275, and is blue divided quarterly by a golden cross pattée. Several other cases of crusader crosses originate during this period all across Europe, including England and Scotland.			154					
rise_of_the_condottieri		Rise of the Condottieri			units unlock	430					
rise_of_the_kara_koyunlu		Rise of the Kara Koyunlu	Massive Turcoman emergence around Baghdad, Tabriz and Mosul. 		spawn	590					
rise_of_the_troubadours		Troubadours begin playing in Provence. 			ancillary unlock	20					
rise_of_the_vendetta		Rise of the Vendetta	Northern Italy is one of the most densely populated parts of the medieval world, it is wealthy and prosperous but made up of many competing autonomous states and rival Houses. Living in large cities or in the provincial landscape of partitioned communes has created local tensions and fierce contention. Even the leading merchant and noble families give no quarter in an unrelenting struggle for resources, power and wealth. Northern Italian regions and factions are now perhaps the most unpredictable and violent society in the world. Duello and Battagliole now active.								
rise_of_william_marshall		William Marshall	An Anglo-Norman soldier and statesman. He was described as the "greatest knight that ever lived" by Stephen Langton. As a younger son of a minor nobleman, William had no lands or fortune to inherit, and had to make his own way in life. Around the age of twelve, when his father's career was faltering, he was sent to Normandy to be brought up in the household of William de Tancarville, a great magnate and cousin of young William's mother. Here he began his training as a knight. He was knighted in 1166 on campaign in Upper Normandy, then being invaded from Flanders. His first experience of warfare was not a great success. He failed to take advantage of the knights he had managed to overcome in the street skirmish at Neufchâtel-en-Bray. In 1167 he was taken by William de Tancarville to his first tournament where he found his true métier. Quitting the Tancarville household he then served in the household of his mother's brother, Patrick, Earl of Salisbury. In 1168 his uncle was killed in an ambush by Guy de Lusignan. William was injured and captured in the same skirmish, but was ransomed by Eleanor of Aquitaine, who was apparently impressed by tales of his bravery. Thereafter he found he could make a good living out of winning tournaments. At that time tournaments were dangerous, often deadly, staged battles, not the jousting contests that would come later, and money and valuable prizes could be won by capturing and ransoming opponents, their horses and armour. His record is legendary: on his deathbed he recalled besting 500 knights during his tourneying career. He served four kings — Henry II, Richard the Lionheart, John and Henry III — and rose from obscurity to become a regent of England for the last of the four, and so, one of the most powerful men in Europe. Before him, the hereditary title of "Marshal" designated head of household security for the king of England; by the time he died, people throughout Europe (not just England) referred to him simply as "the Marshal".		character spawn	172					
rise_of_zengi		Imad ed-Din Zengi	Rise of Imad ed-Din Zengi, do you wish this man to become ruler of Syria (faction)?		FL prompt	94					
russian_primary_chronicle_ends		The Russian Primary Chronicle ends.	The Russian Primary Chronicle ends.		social effect	60					
sanctioning_activated											
second_elizabeth_flood		Second St. Elisabeth's Flood			disaster	682		Ghent_Province, Utrecht_Province			
second_lateran_council		Second Lateran Council	The Pope bans crossbows in Christendom, due to its 'unfairness'. A crossbow has range, accuracy and power that whilst unable to match a good bow can be used by a militiaman after just a few days of training. It's ability for peasantry to breach armour gave the lower classes a sudden advantage over nobles. This disturbance in the order of society was deemed irreligious. The effect of this was merely that the weapon became more reknowned and more saught after. The cost of crossbows increases for all Catholic factions.			118					
seljuq_jihad_against_georgia		Jihad against Georgia	The resurgence of Georgians’ military energies brought about a coordinated Muslim response. Sultan Mahmud II b. Muhammad (r. 1118-1131) sent an expedition into Georgia in which the Artuqid Ilghazi of Mardin, the Mazyadid Dubays II b. Sadaqa of Al Hillah and the sultan’s brother Tughrul, lord of Arran and Nakhichevan, with his atabeg Kun-toghdi all took part. This combined army under the overall command of Ilghazi entered the valley of Trialeti in eastern Georgia and encamped in the vicinities of Didgori and Manglisi in mid-August 1121. The number of combatants as well as the course of the battle is differently related in the contemporaneous historical records. The strength of the Seljuq army is variously put, by the medieval Islamic, Georgian, Armenian and European sources from 200,000 to 605,000. King David’s army has traditionally been estimated at 40,000 Georgians, 15,000 Kipchaks, 500 Alans and 100 "Frankish" Crusaders. According to the Arab chronicler Ibn al-Asir, David sent 200 soldiers to the Seljuq camp prior to the battle. They pretended to be renegades and suddenly attacked as they reached the enemy’s lines. Meanwhile, the main Georgian forces, which were already divided in several groups under David and his son, Demetre, struck against the Seljuq flanks. In a pitched three-hour action, the Seljuq troops were completely overrun and forced into flight, leaving a large amount of booty and prisoners to the victors.  Following the victory, David moved relentlessly against the remaining pockets of Muslim resistance and next year, in 1122, he stormed Tbilisi, so that the city might become, according to a Georgian chronicler, "for ever an arsenal and capital for his sons." The medieval sources emphasize David’s acts of revenge against the Muslims of Tbilisi. However, the Arab historian al-'Ayni (1360-1451), who utilizes sources, some of which have not survived, admits that the city was pillaged but says that the Georgian king eventually showed patience and "respected the feelings of the Muslims more than Muslim rulers had done."			82					
siciliy_earthquake		1169 Sicily earthquake			disaster	178		Palermo_Province			
siege_of_maarra		Siege of Ma'arra	The most infamous event from the city's history dates from late 1098, during the First Crusade. After the Crusaders, led by Raymond de Saint Gilles and Bohemond of Taranto, successfully besieged Antioch they found themselves with insufficient supplies of food. Their raids on the surrounding countryside during the winter months did not help the situation. By December 12 when they reached Ma`arra, many of them were suffering from starvation and malnutrition. They managed to breach the city's walls and massacred about 20,000 inhabitants, as they often did when they captured a city. However, this time, as they could not find enough food, they resorted to cannibalism. One of the crusader commanders wrote to Pope Urban II: "A terrible famine racked the army in Ma`arra, and placed it in the cruel necessity of feeding itself upon the bodies of the Saracens. Radulph of Caen, another chronicler, wrote: "In Ma`arra our troops boiled pagan adults in cooking-pots; they impaled children on spits and devoured them grilled." These events were also chronicled by Fulcher of Chartres, who wrote: "I shudder to tell that many of our people, harassed by the madness of excessive hunger, cut pieces from the buttocks of the Saracens already dead there, which they cooked, but when it was not yet roasted enough by the fire, they devoured it with savage mouth."			36					
st_nicholas_flood		St. Nicholas' Flood			disaster	232		Ghent_Province, Utrecht_Province, Ribe_Province			
state_funeral_activated		State Funeral									
statutes_of_casimir		Statuty wiślicko-piotrkowskie				532					
synod_melfi		Synod of Melfi	The Synod of Melfi under Pope Urban II issued decrees against simony and the clerical marriage.[2] Supposedly, this council declared that the concubines and illegitimate wives of these clerics were subject to slavery.		religious	18					
synod_of_cashel		Synod of Cashel 	The Synod of Cashel of 1172, also known as the Second Synod of Cashel, was assembled at Cashel at the request of Henry II of England shortly after his arrival in Ireland in October 1171. The Synod sought to regulate some affairs of the Church in Ireland and to condemn some abuses, bringing the Church more into alignment with the Roman Rite. As such it can be seen as a continuation and part of the Irish church reform of the Twelfth Century, and the first synod of Cashel, the Synod of Rathbreasail and the Synod of Kells, slowly embracing the Gregorian Reforms. More importantly Henry II also declared that all English slaves in bondage throughout Ireland were to be freed, overall it was a sign of great change in Ireland, and more specifically signified religious acceptance of English rule. The Irish records of the time, relate that it was the English who sold their own sons to the Irish for centuries because they were so poor, and as good Christians it was their duty to help the English from such sins. The other acts instituted by Henry II were the abolition of incest and the enforcement of baptism and proper burial of the dead.			184					
synod_of_kells		Synod of Kells 			religious	144					
synod_of_rath_breasail		Synod of Ráth Breasail			religious	76					
syrian_earthquake		1157 Syrian Earthquake			disaster	154		Aleppo_Province			
syrian_earthquake2		1170 Syrian Earthquake			disaster	180		Aleppo_Province			
syrian_earthquake3		1202 Syria earthquake			disaster	244		Aleppo_Province			
testament_of_boleslaw		Testament of Bolesław III Krzywousty 				70					
the_great_rising 		The Great Rising 	The Peasants' Revolt, Wat Tyler's Rebellion, or the Great Rising of 1381 was one of a number of popular revolts in late medieval Europe and is a major event in the history of England. Tyler's Rebellion was not only the most extreme and widespread insurrection in English history but also the best-documented popular rebellion to have occurred during medieval times. The names of some of its leaders, John Ball, Wat Tyler and Jack Straw, are still familiar in popular culture, although little is known of them. The revolt later came to be seen as a mark of the beginning of the end of serfdom in medieval England, although the revolt itself was a failure. It increased awareness in the upper classes of the need for the reform of feudalism in England and the appalling misery felt by the lower classes as a result of their enforced near-slavery.		character spawn	602					
third_elizabeth_flood		Third Saint Elisabeth flood			disaster	688		Ghent_Province, Utrecht_Province			
victual_brothers 		Victual Brothers rise	Klaus Störtebeker a German privateer appears in the North Sea as the leader of the Victual Brothers also known as Vitalians, the Vitalian Brotherhood or Likedeelers ('equal sharers'). These pirates had bases all across Scandinavia and Northern Germany, despite being pirates they were orginally employed in conspiracy by the Hanseatic League to harrass Denmark and its attempts to form the Kalmar Union. The guild had a main base on Gotland for which reason King Albrecht of Sweden pledged the island to the Teutonic Order to drive them out. Queen Margaret even turned to Richard II of England to charter ships to combat the threat. During their 80 year reign of terror they sacked and burnt Bergen, captured Malmö and sacked Åbo with bases in most estuaries from Frisia to Finland. Their warcry was "God's friends and the whole world's enemies". 		character spawn	624					
war_of_the_eight_saints 		War of the Eight Saints 	The War of the Eight Saints (1375–1378) was a war between Pope Gregory XI and a coalition of Italian city-states led by Florence, which contributed to the end of the Avignon Papacy. It was based on Florentine opposition to the expansion of the Papal States in central Italy (which the Avignon Popes had set as a condition for their return) and friction toward the Parte Guelfa in Florence. When the Papacy ended their war with Milan in 1375, Tuscany feared the Papacy would force expansion upon them. Florence formed an alliance with Milan in July 1375, immediately prior to the outbreak of the war, and the prosecution of the war was entirely delegated to an eight-member committee appointed by the Signoria of Florence: the otto della guerra. Florence incited a revolt in the Papal States in 1375. Florentine agents were sent to more than forty cities in the papal states—including Bologna, Perugia, Orvieto, and Viterbo—to foment rebellion, many of which had only been re-submitted to papal authority by the efforts of Cardinal Gil Álvarez Carrillo de Albornoz. Humanist Chancellor of Florence Coluccio Salutati disseminated public letters urging the cities to rebel against the "tyrannical" and "corrupt" papal rule, instead urging a return to all'antica Republicanism. Robert of Geneva, future Avignon Pope Clement VII, the commander of papal forces until 1377. Pope Gregory XI excommunicated all members of the government of Florence and placed the city under interdict on March 31, 1376, banning religious services in Florence and legalizing the arrest and enslavement of Florentines and the confiscation of their property throughout Europe. The war ended with a peace treaty concluded at Tivoli in July 1378, negotiated with Pope Urban VI following the death of Gregory XI and with the beginning of the Western Schism. Under the treaty, Florence was to pay the Pope 200,000 florins to repeal the order of Excommunication.		rebel unrest	590					
english_earthquake		September 19 – Severe Earthquake in Gloucestershire & Warwickshire, England.	September 19 – Severe Earthquake in Gloucestershire & Warwickshire, England.		disaster	78					
templars_founded		Knights Templar Founded by Hugh de Payns.	Knights Templar Founded by Hugh de Payns.			78					
omne_datum_optimum 		Omne Datum Optimum 	Omne Datum Optimum (Latin for "Every perfect gift", a quotation from the Epistle of James) was a Papal Bull issued by Pope Innocent II in 1139 that initially endorsed the Order of the Poor Knights of Christ and of the Temple of Solomon (Knights Templar), in which the Templar Rule was officially approved, and papal protection given. Additionally, Omne Datum Optimum promised all spoils from Muslim conquest to the Order, and made the Order exempt from tithes and taxes: "As for the things that you will receive from the spoils, you can confidently put them to your own use, and we prohibit that you be coerced against your will to give anyone a portion of these." Although Omne Datum Optimum was an unusual bull in and of itself, it was followed by Pope Celestine II's Milites Templi in 1144 and Pope Eugene III's Militia Dei in 1145, which together gave the Templars an extraordinary range of rights and privileges. Among other things, the Order was permitted to build its own churches, bury their dead on those church grounds and collect taxes on Templar properties once a year. The unique cemeteries constructed by the Templars proved to be extremely controversial.			118					
walcher_of_malvern		Walcher of Malvern 	Walcher of Malvern creates a system of measurement for the earth using degrees, minutes, and seconds of latitude and longitude.			80					
