Building	Capability	Capability Requirements
conscription+3	recruit_pool "european_halberdiers"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland,  slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "european_serfs"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland,  slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "european_crossbowmen"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland,  armenia, byzantium, georgia,  slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "european_archers"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland,  byzantium, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "european_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  hre, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "european_militia_spearmen"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  hre, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "scandinavian_mounted_sergeants"  1   0.3   2  0	factions { denmark, norway, sweden, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "english_churls"  1   0.3   2  0	factions { england, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "english_fyrdmen"  1   0.3   2  0	factions { england, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "st_george_light_guard"  1   0.3   2  0	factions { england, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "norman_cavalry"  1   0.3   2  0	factions { england, france, scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "anglo_scottish_reivers"  1   0.3   2  0	factions { england, scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "brit_knights"  1   0.3   2  0	factions { england, scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "irish_heavy_inf"  1   0.3   2  0	factions { england, scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "irish_skirmishers"  1   0.3   2  0	factions { england, scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "irish_skirmishers"  1   0.3   2  0	factions { england, scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "french_foot_sergeants"  1   0.3   2  0	factions { france, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "french_knights"  1   0.3   2  0	factions { france, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "french_mounted_sergeants"  1   0.3   2  0	factions { france, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "hre_militia"  1   0.3   2  0	factions { hre, hungary, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "hre_mounted_militia"  1   0.3   2  0	factions { hre, hungary, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "hre_squires"  1   0.3   2  0	factions { hre, hungary, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "communes_archers"  1   0.3   2  0	factions { milan, pisa, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "communes_merchant_cav"  1   0.3   2  0	factions { milan, pisa, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "communes_mounted_sergeants"  1   0.3   2  0	factions { milan, pisa, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "ravagers"  1   0.3   2  0	factions { milan, pisa, papal_states, hre, venice, sicily, byzantium, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "communes_irregulars"  1   0.3   2  0	factions { milan, pisa, venice, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "communes_irregulars"  1   0.3   2  0	factions { milan, pisa, venice, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "italian_levies"  1   0.3   2  0	factions { milan, pisa, venice, sicily, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "ct_heavy_cav"  1   0.3   2  0	factions { pisa, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "ct_spearmen"  1   0.3   2  0	factions { pisa, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "polish_bannerets"  1   0.3   2  0	factions { poland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "polish_guard"  1   0.3   2  0	factions { poland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "polish_knights"  1   0.3   2  0	factions { poland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "polish_mounted_men_at_arms"  1   0.3   2  0	factions { poland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "polish_provincial_bannerets"  1   0.3   2  0	factions { poland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "woodsmen"  1   0.3   2  0	factions { poland, lithuania, kiev, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "portuguese_knights"  1   0.3   2  0	factions { portugal, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "portuguese_mounted_crossbowmen"  1   0.3   2  0	factions { portugal, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "scottish_archers"  1   0.3   2  0	factions { scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "scottish_armsmen"  1   0.3   2  0	factions { scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "scottish_chief_cav"  1   0.3   2  0	factions { scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "scottish_levies"  1   0.3   2  0	factions { scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "scottish_men_at_arms"  1   0.3   2  0	factions { scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "scottish_men_at_arms"  1   0.3   2  0	factions { scotland, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "sicilian_upstart_nobles"  1   0.3   2  0	factions { sicily, slave, } and event_counter is_player_autonomy 0
conscription+3	recruit_pool "spanish_knights"  1   0.3   2  0	factions { spain, slave, } and event_counter is_player_autonomy 0
Consegio	law_bonus bonus 8	factions { venice, slave, }
Consegio	trade_base_income_bonus bonus 8	factions { venice, slave, }
Consilium	law_bonus bonus 4	factions { venice, slave, }
Consilium	trade_base_income_bonus bonus 4	factions { venice, slave, }
Consolamentum	happiness_bonus bonus 3	-
Consolamentum	law_bonus bonus 6	-
Consolamentum	religion_level bonus 3	-
Consolamentum	trade_base_income_bonus bonus 1	-
Consolamentum	recruit_pool "byzantine_bogomils"  1   0.3   2  0	factions { byzantium, slave, slave, } and event_counter is_player_autonomy 0
Consolamentum	recruit_pool "cathar_infantry"  1   0.3   2  0	factions { slave, slave, } and event_counter is_player_autonomy 0
constantinople_guild	happiness_bonus bonus 2	-
constantinople_guild	law_bonus bonus 1	-
constantinople_guild	population_growth_bonus bonus 3	-
constantinople_guild	population_health_bonus bonus 3	-
constantinople_guild	trade_base_income_bonus bonus 1	-
constantinople_guild	trade_level_bonus bonus 4	-
constantinople_guild	trade_base_income_bonus bonus 2	resource grain or resource wine or resource tobacco
Constitutiones	free_upkeep bonus 1	factions { sicily, slave, }
Constitutiones	happiness_bonus bonus 1	factions { sicily, slave, }
Constitutiones	law_bonus bonus 8	factions { sicily, slave, }
Constitutiones	population_growth_bonus bonus 3	factions { sicily, slave, }
Constitutiones	population_health_bonus bonus 2	factions { sicily, slave, }
Constitutiones	recruits_exp_bonus bonus 1	factions { sicily, slave, }
Constitutiones	retrain_cost_bonus bonus 1	factions { sicily, slave, }
Constitutiones	trade_base_income_bonus bonus 6	factions { sicily, slave, }
Consulat_Mar	law_bonus bonus 2	factions { aragon, slave, }
Consulat_Mar	trade_base_income_bonus bonus 4	factions { aragon, slave, }
consulo_principati	recruit_pool "italian_colonist_archers"  1   0.3   2  0	factions { milan, pisa, venice, slave, } and event_counter is_player_autonomy 0
Contra_plenitudo	pope_disapproval 2	-
Contra_plenitudo	free_upkeep bonus 1	factions { sicily, slave, }
Contra_plenitudo	law_bonus bonus 4	factions { sicily, slave, }
Contra_plenitudo	population_growth_bonus bonus 2	factions { sicily, slave, }
Contra_plenitudo	population_health_bonus bonus 2	factions { sicily, slave, }
Contra_plenitudo	recruits_exp_bonus bonus 1	factions { sicily, slave, }
Contra_plenitudo	religion_level bonus 3	factions { sicily, slave, }
Contra_plenitudo	retrain_cost_bonus bonus 1	factions { sicily, slave, }
Contra_plenitudo	trade_base_income_bonus bonus 5	factions { sicily, slave, }
Contratto	law_bonus bonus 5	factions { sicily, slave, }
Contratto	population_growth_bonus bonus 3	factions { sicily, slave, }
Contratto	population_health_bonus bonus 3	factions { sicily, slave, }
Contratto	trade_base_income_bonus bonus 2	factions { sicily, slave, }
Contratto	recruit_pool "sicilian_retinue"  1   0.3   2  0	factions { sicily, slave, } and event_counter is_player_autonomy 0
Convenientiae	free_upkeep bonus 2	factions { france, slave, }
Convenientiae	law_bonus bonus 4	factions { france, slave, }
Convenientiae	recruits_exp_bonus bonus 1	factions { france, slave, }
Convenientiae	retrain_cost_bonus bonus 2	factions { france, slave, }
Convenientiae	trade_base_income_bonus bonus 1	factions { france, slave, }
Conventiones	stage_races 1	-
Conventiones	free_upkeep bonus 4	factions { poland, slave, }
Conventiones	law_bonus bonus 6	factions { poland, slave, }
Conventiones	population_growth_bonus bonus 3	factions { poland, slave, }
Conventiones	retrain_cost_bonus bonus 1	factions { poland, slave, }
Conventiones	trade_base_income_bonus bonus 2	factions { poland, slave, }
Conventiones	recruit_pool "polish_lords"  1   0.3   2  0	factions { poland, slave, } and event_counter is_player_autonomy 0
Conventus	pope_disapproval 1	-
Conventus	happiness_bonus bonus 1	factions { sicily, slave, }
Conventus	law_bonus bonus 8	factions { sicily, slave, }
Conventus	population_growth_bonus bonus 3	factions { sicily, slave, }
Conventus	population_health_bonus bonus 2	factions { sicily, slave, }
Conventus	religion_level bonus 3	factions { sicily, slave, }
Conventus	trade_base_income_bonus bonus 4	factions { sicily, slave, }
Coram_rege	stage_races 2	-
Coram_rege	construction_cost_bonus_stone bonus 30	factions { england, slave, }
Coram_rege	construction_cost_bonus_wooden bonus 10	factions { england, slave, }
Coram_rege	happiness_bonus bonus 3	factions { england, slave, }
Coram_rege	law_bonus bonus 12	factions { england, slave, }
Coram_rege	recruits_exp_bonus bonus 1	factions { england, slave, }
Coram_rege	recruits_exp_bonus bonus 1	factions { england, slave, }
Coram_rege	retrain_cost_bonus bonus 3	factions { england, slave, }
Coram_rege	trade_base_income_bonus bonus 12	factions { england, slave, }
Coram_rege_banco	stage_races 3	-
Coram_rege_banco	construction_cost_bonus_stone bonus 30	factions { england, slave, }
Coram_rege_banco	construction_cost_bonus_wooden bonus 10	factions { england, slave, }
Coram_rege_banco	happiness_bonus bonus 4	factions { england, slave, }
Coram_rege_banco	law_bonus bonus 14	factions { england, slave, }
Coram_rege_banco	recruits_exp_bonus bonus 1	factions { england, slave, }
Coram_rege_banco	recruits_exp_bonus bonus 1	factions { england, slave, }
Coram_rege_banco	retrain_cost_bonus bonus 3	factions { england, slave, }
Coram_rege_banco	trade_base_income_bonus bonus 14	factions { england, slave, }
Corporazioni	law_bonus bonus 1	-
Corte	law_bonus bonus 4	-
Corte	population_health_bonus bonus 1	-
Corte	trade_base_income_bonus bonus 3	-
Corts_Reyno	law_bonus bonus 1	factions { aragon, }
Corts_Reyno	trade_base_income_bonus bonus 2	factions { aragon, }
Cour_Armenie	law_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Armenie	population_growth_bonus bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Armenie	religion_level bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Armenie	trade_base_income_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Armenie	recruit_pool "cypriot_men_at_arms"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Armenie	recruit_pool "sword_of_cyprus_foot_knights"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Armenie	recruit_pool "levant_foot_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Bourgeois	recruit_pool "levant_foot_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Bourgeois	law_bonus bonus 4	factions { papal_states, } and hidden_resource levantine
Cour_Bourgeois	population_growth_bonus bonus 2	factions { papal_states, } and hidden_resource levantine
Cour_Bourgeois	trade_base_income_bonus bonus 2	factions { papal_states, } and hidden_resource levantine
Cour_Fond	law_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Fond	population_growth_bonus bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Fond	religion_level bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Fond	trade_base_income_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Fond	recruit_pool "cypriot_men_at_arms"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Fond	recruit_pool "sword_of_cyprus_foot_knights"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Fond	recruit_pool "levant_foot_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Fond	recruit_pool "levant_noble_cavalry"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Fond_p	law_bonus bonus 4	factions { papal_states, } and hidden_resource levantine
Cour_Fond_p	trade_base_income_bonus bonus 3	factions { papal_states, } and hidden_resource levantine
Cour_Haute	recruit_pool "holy_sepulchre_foot_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0
Cour_Haute	happiness_bonus bonus 2	factions { papal_states, } and hidden_resource levantine
Cour_Haute	law_bonus bonus 4	factions { papal_states, } and hidden_resource levantine
Cour_Haute	population_growth_bonus bonus 2	factions { papal_states, } and hidden_resource levantine
Cour_Haute	trade_base_income_bonus bonus 2	factions { papal_states, } and hidden_resource levantine
Cour_Haute_a	law_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Haute_a	population_growth_bonus bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Haute_a	religion_level bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Haute_a	trade_base_income_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Haute_a	recruit_pool "cypriot_men_at_arms"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Haute_a	recruit_pool "sword_of_cyprus_foot_knights"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Haute_a	recruit_pool "levant_foot_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Mer	recruit_pool "levant_noble_cavalry"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0 and hidden_resource levantine
Cour_Mer	law_bonus bonus 4	factions { papal_states, } and hidden_resource levantine
Cour_Mer	population_growth_bonus bonus 1	factions { papal_states, } and hidden_resource levantine
Cour_Mer	trade_base_income_bonus bonus 3	factions { papal_states, } and hidden_resource levantine
Cour_Mer_a	law_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Mer_a	population_growth_bonus bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Mer_a	religion_level bonus 3	factions { armenia, } and hidden_resource cypriot
Cour_Mer_a	trade_base_income_bonus bonus 6	factions { armenia, } and hidden_resource cypriot
Cour_Mer_a	recruit_pool "cypriot_men_at_arms"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Mer_a	recruit_pool "sword_of_cyprus_foot_knights"  1   0.3   2  0	factions { armenia, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Mer_a	recruit_pool "levant_foot_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland, } and event_counter is_player_autonomy 0 and hidden_resource cypriot
Cour_Syriens	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { egypt, moors, seljuks, syria, turks,  papal_states, slave, } and event_counter is_player_autonomy 0 and hidden_resource levantine
Cour_Syriens	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { egypt, moors, seljuks, syria, turks,  papal_states, slave, } and event_counter is_player_autonomy 0 and hidden_resource levantine
Cour_Syriens	happiness_bonus bonus 1	factions { papal_states, } and hidden_resource levantine
Cour_Syriens	law_bonus bonus 4	factions { papal_states, } and hidden_resource levantine
Cour_Syriens	population_growth_bonus bonus 1	factions { papal_states, } and hidden_resource levantine
Cour_Syriens	trade_base_income_bonus bonus 2	factions { papal_states, } and hidden_resource levantine
Cour_Syriens	recruit_pool "syrian_foot_archers"  1   0.3   2  0	factions { syria, papal_states,} and event_counter is_player_autonomy 0 and hidden_resource levantine
Cour_Syriens	recruit_pool "syrian_infantry"  1   0.3   2  0	factions { syria, papal_states,} and event_counter is_player_autonomy 0 and hidden_resource levantine
Cour_Syriens	recruit_pool "syrian_militia_archers"  1   0.3   2  0	factions { syria, papal_states,} and event_counter is_player_autonomy 0 and hidden_resource levantine
Cour_Syriens	recruit_pool "syrian_militia_spearmen"  1   0.3   2  0	factions { syria, papal_states,} and event_counter is_player_autonomy 0 and hidden_resource levantine
Cour_Syriens	recruit_pool "syrian_peasants"  1   0.3   2  0	factions { syria, papal_states,} and event_counter is_player_autonomy 0 and hidden_resource levantine
court1	law_bonus bonus 1	-
court2	law_bonus bonus 1	-
court3	law_bonus bonus 2	-
court4	law_bonus bonus 3	-
court5	law_bonus bonus 4	-
craft_guild	trade_base_income_bonus bonus 1	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland,  slave, }
Credentes	happiness_bonus bonus 1	-
Credentes	law_bonus bonus 2	-
Credentes	religion_level bonus 1	-
Credentes	recruit_pool "byzantine_bogomils"  1   0.3   2  0	factions { byzantium, slave, slave, } and event_counter is_player_autonomy 0
Credentes	recruit_pool "cathar_infantry"  1   0.3   2  0	factions { slave, slave, } and event_counter is_player_autonomy 0
curatoriae	recruit_pool "italian_colonist_archers"  1   0.3   2  0	factions { milan, pisa, venice, slave, } and event_counter is_player_autonomy 0
Curia_Regis	law_bonus bonus 2	factions { england, slave, }
Curia_Regis	trade_base_income_bonus bonus 2	factions { england, slave, }
Curia_Regis_Scaccarium	stage_races 1	-
Curia_Regis_Scaccarium	law_bonus bonus 4	factions { england, slave, }
Curia_Regis_Scaccarium	trade_base_income_bonus bonus 4	factions { england, slave, }
curia_roma	law_bonus bonus 2	hidden_resource rome
Daftar_kana	cavalry_bonus bonus 1	factions { seljuks, slave, }
Daftar_kana	construction_cost_bonus_stone bonus 40	factions { seljuks, slave, }
Daftar_kana	construction_cost_bonus_wooden bonus 40	factions { seljuks, slave, }
Daftar_kana	happiness_bonus bonus 1	factions { seljuks, slave, }
Daftar_kana	law_bonus bonus 2	factions { seljuks, slave, }
Daftar_kana	population_growth_bonus bonus 2	factions { seljuks, slave, }
Daftar_kana	recruits_exp_bonus bonus 3	factions { seljuks, slave, }
Daftar_kana	retrain_cost_bonus bonus 4	factions { seljuks, slave, }
Daftar_kana	trade_base_income_bonus bonus 14	factions { seljuks, slave, }
Daicilagh	law_bonus bonus -4	-
Daicilagh	population_health_bonus bonus -1	-
Daicilagh	recruit_pool "cuman_horse_archers"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "cuman_nobles"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "khazar_heavy_cav"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "khazar_horse_archers"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "kypchak_light_cav"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "pecheneg_light_cav"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "mongol_foot_archers"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "mongol_light_lancers"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "mongol_light_warriors"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "mongol_mounted_archers"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "mongol_pilgrims"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Daicilagh	recruit_pool "mongol_serfs"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dailal	happiness_bonus bonus -1	-
Dailal	law_bonus bonus -6	-
Dailal	population_health_bonus bonus -2	-
Dailal	trade_base_income_bonus bonus 1	-
Dailal	recruit_pool "cuman_horse_archers"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "cuman_nobles"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "khazar_heavy_cav"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "khazar_horse_archers"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "kypchak_light_cav"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "pecheneg_light_cav"  1   0.3   2  0	factions { cumans,  slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "mongol_foot_archers"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "mongol_light_lancers"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "mongol_light_warriors"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "mongol_medium_horse_archers"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "mongol_mounted_archers"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "mongol_pilgrims"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dailal	recruit_pool "mongol_serfs"  1   0.3   2  0	factions { cumans, seljuks, slave, } and event_counter is_player_autonomy 0
Dakhma	happiness_bonus bonus 1	-
Dakhma	population_growth_bonus bonus 2	-
Dakhma	population_health_bonus bonus 3	-
Dakhma	recruits_exp_bonus bonus 2	-
Dakhma	religion_level bonus 6	-
Dakhma	trade_base_income_bonus bonus 4	-
Dakhma	recruit_pool "caspian_archers"  1   0.3   2  0	factions { syria, seljuks, armenia, georgia, cumans, slave, } and event_counter is_player_autonomy 0
Dakhma	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { syria, seljuks, armenia, georgia, cumans, slave, } and event_counter is_player_autonomy 0
Dakhma	recruit_pool "zoroastrian_missile_cav"  1   0.3   2  0	factions { syria, seljuks, armenia, georgia, cumans, slave, } and event_counter is_player_autonomy 0
Dar_al_harb	law_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_harb	population_growth_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_harb	population_health_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_harb	trade_base_income_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_hijra	agent assassin 1	factions { egypt, syria, slave, }
Dar_al_hijra	agent_limit assassin 1	factions { egypt, syria, slave, }
Dar_al_hijra	free_upkeep bonus 1	factions { egypt, syria, slave, }
Dar_al_hijra	law_bonus bonus 4	factions { egypt, syria, slave, }
Dar_al_hijra	population_growth_bonus bonus 1	factions { egypt, syria, slave, }
Dar_al_hijra	population_health_bonus bonus 1	factions { egypt, syria, slave, }
Dar_al_hijra	recruit_pool "caspian_archers"  1   0.3   2  0	factions { egypt, syria, slave, }
Dar_al_hijra	recruit_pool "shia_militia"  1   0.3   2  0	factions { egypt, syria, slave, }
Dar_al_hijra	recruits_exp_bonus bonus 1	factions { egypt, syria, slave, }
Dar_al_hijra	religion_level bonus 1	factions { egypt, syria, slave, }
Dar_al_islam	law_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_islam	population_growth_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_islam	population_health_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_islam	recruits_exp_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_islam	trade_base_income_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_al_Qadi	law_bonus bonus 1	-
Dar_alAmariyya	law_bonus bonus 1	-
Dar_alImara	law_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dar_alImara	trade_base_income_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dargah	happiness_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dargah	law_bonus bonus 3	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dargah	religion_level bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Dargah	trade_base_income_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Daskara	cavalry_bonus bonus 2	factions { seljuks, slave, }
Daskara	free_upkeep bonus 3	factions { seljuks, slave, }
Daskara	law_bonus bonus -6	factions { seljuks, slave, }
Daskara	trade_base_income_bonus bonus 3	factions { seljuks, slave, }
Dastakert	happiness_bonus bonus 1	factions { armenia, slave, }
Dastakert	law_bonus bonus 8	factions { armenia, slave, }
Dastakert	population_growth_bonus bonus 1	factions { armenia, slave, }
