Shared		Tooltips		Strat		Quotes		Export_Buildings		Expanded	
ST_WOODEN_CASTLE	Motte & Bailey	TMT_SHOW_GENERAL_UNIT_DETAILS_ARMY	Show details of the bodyguard unit for this army's general	SMT_TAX_LEVEL_NORMAL	Normal tax rate	The Aragonese and Catalans fell down over us as a devastating fire, and they dared to everything and they wished everything… Everything disappeared, devastated, and everything remained full of bodies, victims of the most frightful and horrible massacre.	Theodulos Monachos (Thomas Magister), Byzantine chronicler, on the Almogaver expedition against Greece				
ST_STONE_KEEP	Wooden Castle	TMT_LCLICK_INFO	Left-click to get further information	SMT_TAX_LEVEL_HIGH	High tax rate	En mis dominios nunca se oculta el sol. The Sun never set on my Kingdom.	Charles V, King of Spain and Holy Roman Emperor				
ST_CASTLE	Castle	TMT_CANNOT_MERGE_AGENT	The selected character cannot be received at this location	SMT_TAX_LEVEL_VERY_HIGH	Very high tax rate	Des todes waffen ie ce sere sneit- "Death's sword ever was too sharp"	Nibelungenlied: Stanza CMXCVIII				
ST_LARGE_CASTLE	Fortress	TMT_CANNOT_MERGE_AGENTS	The selected characters cannot be received at this location	SMT_GOVERNOR_POLICY_BALANCED	Balanced build policy	My Cid (Lord) used the spear, then did he take his hand to the sword, as many Moors he killed, that couldn´t be counted; blood was pouring along his elbow.	El Cantar del Mío Cid (The Lay of the Cid), Stanza XCV				
ST_FORTRESS	Citadel	TMT_AUTO_MERGE_AGENTS	Right-click to automatically merge agents	SMT_GOVERNOR_POLICY_FINANCIAL	Financial build policy	All the religions are human works, and equivalent; they are chosen by personal convenience or circumstances.	Ibn Rushd, Averroes (1126-1198); Andalusian mathematician, philosopher and doctor				
ST_STAR_FORT	DO NOT TRANSLATE - ARGH! OH GOD! NOT MEANT TO BE A STAR FORT ANYWHERE! ARGH AGAIN!	TMT_NO_WITHDRAW_NAVY	Cannot withdraw: Navies cannot withdraw from battles	SMT_GOVERNOR_POLICY_MILITARY	Military build policy	We were in the riverbed, between the gardens and the tower; and when we saw our flag upon the tower, we dismounted from our horse, and heading eastwards we cried from our eyes and kissed the earth for the great mercy God had made to us.	Jaime I of Aragon, telling of the surrender of Balansiya to Aragonese troops in 1238				
ST_FORT	Fort	TMT_NO_WITHDRAW_AMBUSH	Cannot withdraw: You have been successfully ambushed	SMT_GOVERNOR_POLICY_STRONGHOLD	Growth build policy	He then said to the Christian ruler, What I have heard in Rota regarding your wisdom, your clemency, the peace in your kingdom and, your wealth is indeed true. Blessed are your men, blessed are your counsellors who live here with you and who are in your kingdom. 	King Zafadola to Alfonso VII of Leon				
ST_SLOT	Slot	TMT_NO_WITHDRAW_SIEGE	Cannot withdraw: Your are under siege	SMT_GOVERNOR_POLICY_CULTURAL	Cultural build policy	You are aware of the evils which you have caused not only in Castile, but in all the kingdom. You also know that last year you swore to return to the King of Leon the castles and cities which belong to him. If you carry out these terms, there will be peace between you and Alfonso. If not, then prepare to fight. Let him to whom God grants victory rule his kingdom in peace. 	Message sent to the Aragonese King				
ST_SELECT_SLOT	Select buildings for settlement slots	TMT_NO_WITHDRAW_AP	Cannot withdraw: No movement points remaining	SMT_NO_GOVERNOR	No governor	Speak with the Christian King and, with his help, rescue us from the power of the Almoravids. We shall give even more tributes to the ruler of León than our forefathers gave to his ancestors. We shall serve him with you, and you and your sons shall rule over us. 	The Iberian Taifa rulers under Almoravid occupation				
ST_NAME	Name	TMT_NO_WITHDRAW_RETREAT	Cannot withdraw: Nowhere to withdraw to	SMT_SHOW_GARRISON	Show units in garrison	Mantenga Dios a tu alteza y a tu corona real. -"May God maintain thy Highness and thy royal crown."	Romance del Prior de San Juan, circa 1328				
ST_GRASS_SHORT	Short grass	TMT_ALREADY_CAPITAL	This settlement is already the capital	SMT_SHOW_UNITS	Show units in army	“Միութիւնը՝ոյժէ -“Unity is power"	Armenian proverb				
ST_GRASS_LONG	Long grass	TMT_NO_GENERAL_UNIT_TO_SHOW	No personal bodyguard unit to show	SMT_SHOW_UNITS_NAVY	Show units in navy	“Felix igitur Hungaria, cui sunt dona data varia.“Thus, fortunate country is Hungary, for whom many gifts have been given.	Gesta Hungarorum, circa 1200				
ST_SAND	Sand	TMT_DOCK_BLOCKADED	This dock is currently blockaded	SMT_SHOW_BUILDINGS	Show buildings in settlement	Al diu werlt diu strîtet her:wir sîn an der rehten ger, reht ist daz er uns gewer. -"The whole world is coming battling here: our cause is right, it is right that He (God) is granting it to us."	Palästinalied, by Walther von der Vogelweide (c.1170-c.1230)				
ST_ROCK	Rock	TMT_PORT_BLOCKADED	This port is currently blockaded	SMT_SHOW_VISITORS	Show visiting agents in settlement	Archbishop Cyril said: “My children, you should know that the sun of the Suzdalian land has set. There will never be another prince like him in the Suzdalian land.” And the priests and deacons and monks, the poor and the wealthy, and all the people said: “It is our end.” 	Second Pskovian Chronicle, on the burial of Alexander Nevsky (1220-1263)				
ST_FOREST_DENSE	Dense forest	TMT_SETTLEMENT_AUTOMANAGED_BUILDING	Cannot add this building as construction is being auto-managed	SMT_SHOW_TRAVELLING_CHARACTERS	Show agents travelling with army	That king Remiro was very good, and he had a lot of ventures with the Moors, and he fought a lot of times with them, and did he vanquished them.	Concerning King Remiro I of Aragon in the Liber Regnum				
ST_SCRUB_DENSE	Dense scrub	TMT_SETTLEMENT_AUTOMANAGED_TRAINING	Cannot add this unit as recruitment is being auto-managed	SMT_SHOW_TRAVELLING_CHARACTERS_NAVY	Show agents travelling with navy	They tore up vines, cut down the fruit trees, smashed fences and walls, and laid waste the whole of that most fertile region with fire and sword.	Orderic Vitalis, Book X, Chapter 10				
ST_SWAMPY	Swamp	TMT_CANNOT_RECRUIT_MERCS_IN_BATTLE	Cannot recruit mercenaries once a battle has been instigated	SMT_SHOW_PASSENGERS	Show units travelling on selected fleet	Some he slaughtered mercilessly on the spot like cattle; others he kept for years in fetters, or forced into harsh and unlawful slavery.	Orderic Vitalis, Book VIII, Chapter 3				
ST_MUD	Mud	TMT_CANNOT_CHANGE_TAX_LEVEL_AS_AUTOMANAGED	Cannot change the tax level of this settlement as the faction's taxes are being auto-managed. Go to the faction summary scroll to change this	SMT_RCLICK_SHOW_SETTLEMENTS	Right-click on the tab to show a list of your settlements	I sung Mass for you this morning, I ask this favour to be given in turn, grant that I may strike the first blows	Bishop Jerónimo, El Cantar de Mio Cid lines 1708-1710				
ST_MUD_ROAD	Mud road	TMT_CANNOT_CHANGE_CASTLE_TAX_LEVEL	Cannot change the tax level of the castle.	SMT_RCLICK_SHOW_CHARACTERS	Right-click on the tab to show a list of your agents	After gathering a very large army, king Valdemar went to Estonia with one thousand five hundred longships, and after many battles succeeded in christening the whole country and bringing it under Danish rule, which it still is. 	The Ryd Cloister Yearbook of 1219				
ST_STONE_ROAD	Stone road	TMT_CANNOT_DESTROY_THIS_BUILDING	This building cannot be destroyed	SMT_RCLICK_SHOW_ARMIES	Right-click on the tab to show a list of your military forces	What shall we then say to these things? If God is for for us, who could be against us? 	Adhemar of Le Puy during the seige of Antioch				
ST_WATER	Water	TMT_RECOUP_AMOUNT	%d florins will be recouped.	SMT_LOYALTY_DECREASING	Loyalty to your governor is declining\nThe people need cheering up	“Let evil swiftly befall those who have wrongly condemned us - God will avenge us.”	Curse of the last Master of Temple, Jacques de Molay, against Philip of France and the Pope Clement V, his condemners				
ST_ICE	Ice	TMT_CANNOT_LEAVE_ZOC	Cannot move through an enemy's zone of control	SMT_LOYALTY_INCREASING	Loyalty is improving\nKeep up the good work	“For the brave, a stick is as good as a sword and an arrow”	Proverb from the Dede Korkut, the epic story of the Turkish Oghuz tribe, founder of the Ak-Koyunlu state, XV century				
ST_SNOW	Snow	TMT_CAN_ONLY_SALLY_OUT_ONCE_PER_TURN	Can only sally out once per turn	SMT_REMOVE_RALLY_POINT	Remove the rally point for this settlement\nNewly recruited units will join the garrison	“I have not brought you freedom, I found it here among you.”	Attributed to George Skanderbeg, national hero of Albania, 1406-1468				
ST_ROAD_LEVEL	Roads level	TMT_CANNOT_FLEE	This army cannot flee from the battle. If it loses, all units will be destroyed	SMT_SET_RALLY_POINT	Show rally points	“O quam cito transit gloria mundi” -“How fast passes away the glory of this world.”	Thomas à Kempis, German monk, Imitation of Christ, Book I, ch. 3 (ca. 1418), words used on the coronation of the Pope				
ST_ROAD_DIRT	Dirt road	TMT_LOYALTY_TITLE	Loyalty	SMT_1_TURN	1 turn	Virtue against fury shall take the weapons and will make the combat short-lasting: that the ancient courage of the Italian heart is still not dead!	Petrarch, Canzionere, CXVIII				
ST_ROAD_STONE	Stone road	TMT_LOYALTY_LEVEL_0	It is doubtful if this man has any loyalties at all, even unto himself	SMT_X_TURNS	%d turns	Our clothing and our armour ought to be of such a kind that men of mature experience will not say that we have spent too much on them, nor younger men say we have spent too little.	Louis IX of France(1214-1270)				
ST_ROAD_STONE_HIGHWAY	Stone highway	TMT_LOYALTY_LEVEL_1	This man perceives loyalty as a trait of the weak and foolish	SMT_SELECT_UNIT_TO_RECRUIT	Select unit to recruit	Defend, my friends, Christendom and Hungary from all enemies... Do not quarrel among yourselves. If you should waste your energies in altercations, you will seal your own fate as well as dig the grave of our country.	János Hunyadi, Hungarian Generalissimo on his death bed, 1456				
ST_X_DENARI	%d florins	TMT_LOYALTY_LEVEL_2	He may proclaim his loyalty as expected, though it is quite obviously just for appearances	SMT_SELECT_UNIT_TO_RETRAIN	Select unit to retrain	When Sigurd Hlodvirsson asks his mother, a sorceress for advice during a challenge to fight the Scottish Jarl Finnleik, she replies: “Had I thought you’d live for ever,” she said, “I’d have reared you in my wool-basket.”	Orkneyinga Saga 1200 AD				
ST_X_BC	%d BC	TMT_LOYALTY_LEVEL_3	Fallible like any other man, at least this one tries to be a good servant	SMT_SET_TO_RECRUIT_MODE	Show recruitable units	Lifetimes are shaped by what will be, not by where you are. 	Orkneyinga Saga 1200 AD				
ST_X_AD	%d AD	TMT_LOYALTY_LEVEL_4	Understands that acting obediently is sometimes more important than doing what would seem sensible	SMT_SET_TO_RETRAIN_MODE	Show units in garrison that require retraining and re-equipping	“You won’t want people to think that while I was fighting for both our freedoms, you were skulking here like a cat in a cave.” 	Thorfinn Jarl to Kalf Arnason, Orkneyinga Saga 1200 AD				
ST_WINTER	Winter	TMT_LOYALTY_LEVEL_5	Loyal enough to obey an order that he does not see the sense behind without complaint	SMT_MERGE_SELECTED_UNITS	Merge selected items from left panel into right panel	Thorfinn Jarl, in company of King Magnus, responds to a man whom he let go rather than killing him, but who now claims compensation for Thorfinn’s killing of his brother: “The old saying is true”, said the Earl, “Many a trap for the unwary. I never expected to suffer from being too easy on my enemies”.	Orkneyinga Saga 1200 AD				
ST_SPRING	Spring	TMT_LOYALTY_LEVEL_6	This man would only disobey an order if he truly believed that he would be commended for it afterwards	SMT_X_PERCENT_COMPLETE	%d percent complete	A good effort is never wasted 	Orkneyinga Saga 1200 AD				
ST_SUMMER	Summer	TMT_LOYALTY_LEVEL_7	Eve upon threat of death, this man is willing to endure great hardships in service of his master and people	SMT_DIPLOMACY_OFFER_ALLIANCE	Alliance	“Evidently, said Thorkel, “the old saying that the king has many ears doesn’t apply in this case. 	Thorkel Flayer to Paul Jarl who has asked where his enemy Svein is. Orkneyinga Saga 1200 AD				
ST_AUTUMN	Autumn	TMT_LOYALTY_LEVEL_8	Unquestioningly loyal, this man is an asset that his people can always depend upon 	SMT_DIPLOMACY_OFFER_CANCEL_ALLIANCE	Cancel alliance	“Hard to tell which comes first, old fellow, said the Earl, “death or glory.” 	Orkneyinga Saga 1200 AD				
ST_ZOOM_TO_EVENT_POSITION	Locate position of event	TMT_LOYALTY_LEVEL_9	When this man's master commands him, he knows that it will be done, or he shall die trying	SMT_DIPLOMACY_OFFER_CEASEFIRE	Ceasefire	Late in the evening, Geirrid said to Gunnlaug, “I don’t want you to go home tonight, because it’s a night of much spirit-movement and many a witch wears a fair face. You don’t strike me as a lucky-looking man right now	Eyrbyggja saga 13th Century				
ST_BATTLE_RESULT	Battle Results	TMT_LOYALTY_LEVEL_10	This man is spoken of far and wide as the epitome of selfless obedience, and is universally admired for it	SMT_DIPLOMACY_OFFER_MILITARY_ACCESS	Military access	He fought boldly, but many a man becomes brave in dire straits, though they’re not at all brave the rest of the time. 	Thorbiorn about the fight at Mavahlid, Eyrbyggja saga 13th Century				
ST_MEN_DEPLOYED	Men Deployed	TMT_NEGATIVE_LOYALTY	This man actually revels in deceiving and betraying any whom he believes trust him	SMT_DIPLOMACY_OFFER_CANCEL_MILITARY_ACCESS	Cancel military access	Mars Hallvardsson reluctant to support his nephew Snorri the Goði is killed by the first volley of spears, to which Snorri says “Its true what they say then, its not always wise to let others go first.”	Eyrbyggja saga 13th Century				
ST_KILLS	Kills	TMT_HORDE_OCCUPY_SETTLEMENT_TOOLTIP	Take this settlement and the surrounding region as a new homeland for your people. Your hordes will disband.	SMT_DIPLOMACY_OFFER_TRADE_RIGHTS	Trade rights	Steinthor strikes Freystein a heavy swordblow on the neck and says “Was that one bad for you, scum? " “Bad indeed," Freystein replied, “bad for you because I’m still alive.” 	Eyrbyggja saga 13th Century				
ST_YOUR_ARMY	Your Army	TMT_HORDE_SACK_SETTLEMENT_TOOLTIP	Steal everything you can from this settlement. Wreak havoc, and continue the search for a new homeland for your hordes.	SMT_DIPLOMACY_OFFER_CANCEL_TRADE_RIGHTS	Cancel trade rights	The ghost of Þóri Viðlegg is said to have returned from the grave. A court hearing is gathered to sue his family for disturbing the peace. Cases were made, summed up and judged. As the charges are finally being read Þóri Viðlegg stands up from the crowd and says “I sat here as long as I could, listening to this crap...”	Eyrbyggja saga 13th Century				
ST_ENEMY_ARMY	Enemy Army	TMT_CANNOT_LEAD_NIGHT_BATTLE	The commanding officer in this battle cannot lead night attacks	SMT_DIPLOMACY_OFFER_ATTACK_FACTION	Attack faction	King Harald Grey-Cloak asks his Hirdman the Icelander Hrut why he is leaving Norway: “Will your prestige be greater there than here?” “Probably not, but a man must do what he must.”	Brennu-Njáls saga 13th Century				
ST_YOUR_ARMIES	Your Armies	TMT_CANNOT_DISEMBARK_HERE	Cannot disembark here	SMT_DIPLOMACY_OFFER_CEDE_REGION	Give region	King Harald Gormsson predicts Gunnar won't return to Denmark: “You will never come back to us,” said the king. “Fate must decide that, my lord,” said Gunnar.	Brennu-Njáls saga 13th Century				
ST_ENEMY_ARMIES	Enemy Armies	TMT_CANNOT_FLEE_HORDE_PLAYER	This army cannot flee from the battle. If it loses, the settlement will be lost and all your people will be forced to find another land to call home	SMT_DIPLOMACY_OFFER_SINGLE_PAYMENT	Make single payment	Njal, responding to Mord at the Althing: “With law our land shall rise, or perish with lawlessness.“	Brennu-Njáls saga 13th Century				
ST_TEAM	Team	TMT_CANNOT_FLEE_HORDE_NON_PLAYER	This army cannot flee from the battle. If it loses, the settlement will be lost and this nations people will be forced to find another land to call home	SMT_DIPLOMACY_OFFER_YEARLY_PAYMENT	Regular tribute	Njal advises Gunnar to honour the terms of the sentence of outlawry: “Just as your first trip abroad brought you great honour, you will gain even more honour again. Then you will come home with great respect, and live to be an old man, and no one here will be your equal"	Brennu-Njáls saga 13th Century				
ST_RANK	Rank	TMT_SIEGE_EQUIPMENT_NOT_POSSIBLE	Construction of this siege equipment is not possible	SMT_DIPLOMACY_OFFER_CANCEL_YEARLY_PAYMENT	Cancel regular tribute	Earl Hakon proclaimed: "This was not done by the gods. Men burnt the temple and carried the gods out. The gods will not avenge themselves at once, but the man who did this will be cursed by Valhalla and never enter there"	Brennu-Njáls saga 13th Century				
ST_SHOW_DETAILS	Show battle statistics screen	TMT_MEET_ENEMY	Sally forth to meet the enemy outside settlement	SMT_DIPLOMACY_OFFER_THREAT_OF_ATTACK	Accept or we will attack	If you had sought my advice at the outset, you would never have spoken about this matter at all, and there would have been no disgrace in that, but now your disgrace will grow to the point where you have no other choice than to deal with the difficulty and wield weapons to kill. 	Brennu-Njáls saga 13th Century				
ST_SAVE_REPLAY	Save battle replay	TMT_MEET_ENEMY_AUTORESOLVE	Automatically resolve the battle outside settlement	SMT_DIPLOMACY_OFFER_DEMAND_NO_ATTACK	Please do not attack	Ulf Uggason reacts to attempts to get him to attack Thangbrand: “I don’t intend to be your puppet, he said, “and you’d better take care that your tongue doesn’t twist itself around your neck."	Brennu-Njáls saga 13th Century				
ST_PLAYER	Player	TMT_REMAIN_GARRISON	Keep your garrison inside the settlement	SMT_DIPLOMACY_OFFER_MAP_INFORMATION	Map information	Thorgeir the heathen asked for silence and spoke: “This is hopeless if we don’t all keep the same laws, for if the law is split then peace will be split, and we can’t live like that. Now I ask the heathens and the Christians will you accept the law that I proclaim?	Brennu-Njáls saga 13th Century				
ST_ATTACKER	Attacker	TMT_FLEE	Flee, abandoning the settlement to the enemy	SMT_DIPLOMACY_OFFER_BRIBE	Bribe	When evil seed has been sown, evil shall grow. 	Brennu-Njáls saga 13th Century				
ST_DEFENDER	Defender	TMT_CHARM_LEVEL_0	There's little to separate this wretched creature from a bar wench	SMT_DIPLOMACY_OFFER_PROTECTORATE	Become a vassal	If you mean well, your deeds will praise themselves, but if you mean evil, they will damn themselves. 	Brennu-Njáls saga 13th Century				
ST_ALLIES	Allies	TMT_CHARM_LEVEL_1	More of a spoiled brat than an example of nobility	SMT_MAKE_DECLARATION	Make declaration	Men slain with but words alone live a long life	Brennu-Njáls saga 13th Century				
ST_ENEMY	Enemy	TMT_CHARM_LEVEL_2	Lacks the grace and charm of other ladies of the court	SMT_MAKE_OFFER	Make offer	We wind and wind the web of spears, there where the banner of bold men flies; we must not let his life be lost – Valkyries decide who lives or dies. 	Song of the Battle of Clontarf Brennu-Njáls saga 13th Century				
ST_BATTLE_STATISTICS	Battle Statistics	TMT_CHARM_LEVEL_3	Delicate enough to win over a simpler sort of man easily enough	SMT_MAKE_DEMAND	Make demand	Eyjolf said, You’re afraid to fight me, aren’t you? Perhaps because you know you’ve done wrong, when you’re afraid of a big man but boast yourself over a little one. 	Víga-Glúms saga 13th Century				
ST_MEN	Men	TMT_CHARM_LEVEL_4	About as enthralling as one expects from a princess	SMT_YOUR_DEMANDS	Your demands	Self’s hand is surest. 	Víga-Glúms saga 13th Century				
ST_DELETE	Delete	TMT_CHARM_LEVEL_5	One of the fairer ladies of the royal courts	SMT_YOUR_DECLARATIONS	Your declarations	Pride and injustice often come to a bad end 	Víga-Glúms saga 13th Century				
ST_SORT_BY_NAME	Sort by Name	TMT_CHARM_LEVEL_6	Graceful and endearing enough to instil trust in others	SMT_YOUR_OFFERS	Your offers	In the bloody night are men bravest, but think little of vengeance in the cold light of day. 	Víga-Glúms saga 13th Century				
ST_SORT_BY_DATE	Sort by Date	TMT_CHARM_LEVEL_7	Beautiful and capable, her majesty is a true asset to her people	SMT_THEIR_DECLARATIONS	Their declarations	It wouldn’t matter if you weren’t a coward. That’s what old age does – makes you afraid for your son. 	Víga-Glúms saga 13th Century				
ST_AA2x2	2x2	TMT_CHARM_LEVEL_8	Intoxicatingly charming enough to always get what she wants	SMT_THEIR_OFFERS	Their offers	And he spoke a verse: – The god I saw goodly ride, gleam far on the marches; spear talk and sword whisper, show forth such high portents. When as new blood washes warriors, poured by Valkyries, Odin ever gladdens, the One-Eyed, at men´s dying. 	Víga-Glúms saga 13th Century				
ST_AA3x3	3x3	TMT_CHARM_LEVEL_9	So charming that most men would fight to see her will be done	SMT_THEIR_DEMANDS	Their demands	Enjoy a brief spell of honour than a long rule of shame. 	Laxdœla saga 1245 AD				
ST_AA4x4	4x4	TMT_CHARM_LEVEL_10	Her majesty's grace and charm makes her a dangerous political weapon	SMT_GIVE_X_DENARI	Give us %d florins	Only idlers wait till evening	Laxdœla saga 1245 AD				
ST_ACCEPT_CHANGES	Accept Changes	TMT_FINANCE_LEVEL_0	This man may like money, but he is useless with it	SMT_WE_WILL_GIVE_X_DENARI	We will give %d florins	If a man’s got to die anyway, he might as well make a name for himself before it comes to that. 	Laxdœla saga 1245 AD				
ST_MOB	Mob	TMT_FINANCE_LEVEL_1	Barely grasps the basics of the barter system	SMT_GIVE_YEARLY_TRIBUTE_OF_X_DENARI	Pay tribute of %d florins per turn	Courage can fail even in the bravest of men. 	Laxdœla saga 1245 AD				
ST_SQUARE	Square	TMT_FINANCE_LEVEL_2	Boasts no more business acumen than a common market vendor	SMT_OFFER_YEARLY_TRIBUTE_OF_X_DENARI	We will give tribute of %d florins per turn	Don’t stir up embers that would be better left to die out. 	Laxdœla saga 1245 AD				
ST_COLUMN	Column	TMT_FINANCE_LEVEL_3	An aspiring trader, possessing more ambition than experience or ability	SMT_CANCEL_YEARLY_TRIBUTE_OF_X_DENARI	Cancel the tribute of %d florins	Hold your tongue!” said Thorkel of Hafratindar. “Are you so stupid as to think you can save someone’s life if he is fated to die?” 	Laxdœla saga 1245 AD				
ST_WEDGE	Wedge	TMT_FINANCE_LEVEL_4	A competent yet uninventive warrior of the mercantile world	SMT_DIP_ACCEPT_OFFER	Accept the current proposal	Every kin has its coward 	Laxdœla saga 1245 AD				
ST_SQUARE_HOLLOW	Hollow Square	TMT_FINANCE_LEVEL_5	Boasts a sound knowledge of local and foreign markets	SMT_DIP_DECLINE_OFFER	Decline the current proposal	One must always deal with the most urgent problems first. 	Laxdœla saga 1245 AD				
ST_TESTUDO	Testudo	TMT_FINANCE_LEVEL_6	Knows how to use money to achieve goals that strength and honour cannot	SMT_DIP_COUNTER_OFFER	Make a counter offer to the current proposal	A man is considered ignorant if he has explored no more than his own shores 	Laxdœla saga 1245 AD				
ST_PHALANX	Spear Wall	TMT_FINANCE_LEVEL_7	Can lay siege to your enemies coffers with almost certain success	SMT_DIP_NEW_OFFER	Make a new offer	In arms ‘tis right the common man, should follow orders, one by one, should stoop or rise, or run or stand, as his war-leader may command; but now to the king who feeds the ravens, the people bend like heartless cravens. Nothing is left them, but consent, to what the king calls his intent. 	Haralds saga harðráða by Snorri Sturluson 1178- 1240				
ST_WALL	Wall	TMT_FINANCE_LEVEL_8	Silver-tongued enough to sell paintings to the blind	SMT_DIP_INIT_OFFER	Make an offer\nLeave offers or demands blank to find out what the opposition would give or take in return	Be your foes strength more or less, Courage is always half success. 	Haralds saga harðráða by Snorri Sturluson 1178- 1240				
ST_OVERWRITE	File Exists	TMT_FINANCE_LEVEL_9	A master of making money multiply with little effort on a grand scale	SMT_DIP_MAKE_GIFT	Offer the items as a gift\nOnly certain items can be offered as gifts	The English horseman then replied “We will give your king seven feet of English ground, since he is taller than other men”. 	Haralds saga harðráða by Snorri Sturluson 1178- 1240				
ST_OVERWRITE_EXPLANATION	You have selected: %S. This file exists and will be overwritten. Continue?	TMT_FINANCE_LEVEL_10	An infamous fiscal power in his own right	SMT_DIP_INFORM	Inform opposition of cancellation of previous treaty arrangements	The air and the paths are alive with magic, for powerful spirits are upon the land. 	Hrólfs Saga Kraka circa 1230-1450				
ST_EDITOR_QUIT_WARNING	You have made changes since the last save. These will be lost if you continue!	TMT_PIETY_LEVEL_0	A walking bastion of blasphemy	SMT_ABILITIES_AT_A_GLANCE	Abilities at a glance	Men must try, if they are to advance. Without effort, no one learns which way luck will turn. 	Hrólfs Saga Kraka circa 1230-1450				
ST_EXPAND_SCROLL	Expand scroll to full size	TMT_PIETY_LEVEL_1	Shows no real sense of spirituality 	SMT_DESCRIPTION	Description	Do not envy others and avoid arrogance, for such conduct diminishes one's fame. Defend yourself if you are attacked. It is becoming to be humble, yet at the same time you must make a bold showing if put to the test. 	Hrólfs Saga Kraka circa 1230-1450				
ST_COLLAPSE_SCROLL	Minimize scroll	TMT_PIETY_LEVEL_2	Far from devout, and often far from the altar at mass	SMT_UPGRADES	Upgrades	Out of every trouble comes some gain 	Hrólfs Saga Kraka circa 1230-1450				
ST_EXIT_EDITOR	Exit Editor	TMT_PIETY_LEVEL_3	Complies with divine mandate with little apparent joy	SMT_X_MEN	%d men	With all the iron in their equipment, they were as grey as broken ice. Description of the 12 berserkers, entering King Hrolf’s court at Yule.	Hrólfs Saga Kraka circa 1230-1450				
ST_ADVISOR_MESSAGE	Advisor Message	TMT_PIETY_LEVEL_4	Has the occasional need to pray for his sins	SMT_YOUR_ARMY_HAS_X_BUILD_POINTS	Select siege equipment to add to construction queue. Your army has %d build points.	No man is so famous, so strong, or so big that his equal cannot be found. 	Hrólfs Saga Kraka circa 1230-1450				
ST_DONT_SHOW_TIP	Don't tell me any more about this	TMT_PIETY_LEVEL_5	Shows a healthy respect for his faith	SMT_SIEGE_ACTIONS	What course of action will you follow?	He flees no fire who jumps over it. 	Hrólfs Saga Kraka circa 1230-1450				
ST_OK	OK	TMT_PIETY_LEVEL_6	Pious, proper and proud of it	SMT_BUILT	Built	No man can bend fate to his will, and no-one can stand against nature. At this point all fell silent. 	Hrólfs Saga Kraka circa 1230-1450				
ST_MORE	More...	TMT_PIETY_LEVEL_7	Clearly one touched with religious fervour	SMT_ZOOM_TO_SETTLEMENT	Locate position of settlement	Rex superiorem non recognoscens in regno suo est Imperator - A King knows no superior, he is Emperor on his own kingdom.	Pope Innocent III in his decretal Per Venerabilem, 1202				
ST_BACK	...Back	TMT_PIETY_LEVEL_8	He doesn't just walk in the light, it shines from him	SMT_ZOOM_TO_UNIT	Locate position of unit's army	Un inglese italianato è un diavolo incarnato -An Italianized Englishman is a devil incarnate.	Italian proverb, referring to the English companies of mercenaries that fought in XIVth century Italy				
ST_QUESTION_MARK	?	TMT_PIETY_LEVEL_9	Has embraced his faith to a point of fanaticism	SMT_ZOOM_TO_CHARACTER	Locate position of character	Nie jest godzien sprawowania władzy ten, kto tej władzy nadużywa. -Unworthy of power is he who abuses his authority.	Wincenty Kadłubek, Polish Historian and Bishop of Cracow, ca. 1200				
ST_REBEL_FACTION	Minor Faction	TMT_PIETY_LEVEL_10	Widely considered a living saint, even by his enemies	SMT_OPEN_CONSTRUCTION_WINDOW	Open construction window for selected settlement	Do you see, my friends, with your eyes, what we are: truly, we are dust and ash.	Opening sentence of Funeral Sermon and Prayer (Halotti beszéd és könyörgés), oldest surviving text in Hungarian language, ca.1192				
ST_ZOOM_TO_ADVICE	Show location of this item	TMT_MAGIC_LEVEL_0	If this woman once held sway over the arcane, she shows no sign of it now 	SMT_NOTHING_TO_CONSTRUCT	It isn't possible to construct any buildings at the moment	Mynna tachton gernast spuho somen gelen Emyna dayda. -I willingly want to speak Finnish, but I cannot.	Attributed to a Finnish bishop in a German travel journal, and the first quote written in the Finnish language, ca.1450				
ST_SHOW_SCROLL_HELP	Show help for this scroll	TMT_MAGIC_LEVEL_1	Little more than a glorified performer of party tricks	SMT_OPEN_TRAINING_WINDOW	Open unit training scroll for selected settlement	Da iže to poreče klъni i bogъ i 12 apostola i 4 evangelisti i svetaě luciě amenъ. -Whoever denies this, let him be cursed by God and the twelve apostles and the four evangelists and Saint Lucia. Amen.	Fragment of the Baška tablet, one of the first monuments containing Croatian inscriptions, 1100				
ST_CLOSE_SCROLL	Close this scroll	TMT_MAGIC_LEVEL_2	More of an enigmatic wise woman than a genuine witch	SMT_NOTHING_TO_TRAIN	It isn't possible to recruit any units at present	For auld storys that men redys Representis to thaim the dedys Of stalwart folk that lyvyt ar Rycht as thai than in presence war. And certis thai suld weill have prys That in thar tyme war wycht and wys And led thar lyff in gret travaill, And oft in hard stour off bataill Wan gret price off chivalry And war voydyt off cowardy,As wes King Robert off Scotland that hardy wes off hart and hand.	John Barbour (1320 –1395), The Brus				
ST_NONE	None	TMT_MAGIC_LEVEL_3	A performer of bizarre, inexplicable phenomena	SMT_CURRENTLY_TRAINING	Currently training:	I am your god who covers the plains with grass and the forests with leaves. The produce of the fields and woods, the young of the cattle and all things that serve mans needs are in my power.	Pagan Slavic prayer, Dialogus de vita Ottonis, ca.1158				
