Name	DotS Type	In-Game Name	Description	Effects Description	Title Type	Transferable ?	Ancillary Image	Exclude Bearers of These Ancillaries	Exclude These Cultures	Title Class (1-6) Q is special	Effects (separated by comma)
Duke_Kldekari	Title	Doukas tou Kldekari	PLACEHOLDER DESCRIPTION	PSF title to be implemented	Pet	0	Admiral_of_France.tga	-	-	n/a	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Bavaria	-	Dux Bavariæ	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Duke_of_Bavaria.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Brittany	-	Dugelezh Vreizh	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Duke_of_Brittany.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Burgundy	-	Burgundiae Dux	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Burgundy.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Chaldia	-	Doux ton Khaldia	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Chaldia.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Dalmatia	-	Dux Dalmatianorum	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Dalmatia.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Finland	-	Dux Finlandiæ	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Finland.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Melfi	-	Dux et Magister Italiae comesque normannorum totius Apuliae et Calabriae	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Duke_of_Melfi.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Duke_of_normandy	-	Dux normandiae	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Normandy.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Orleans	-	Duc d'Orleans	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Orleans.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Pomerania	-	Dux Pomeranorum	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Pomerania.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Rome	-	Dux Romanus	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Duke_of_Rome.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Saxony	-	Herzog von Sachsen	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Entertainment	0	Duke_of_Saxony.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Sicily	-	Dux Siciliæ	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Duke_of_Sicily.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_Sweden	-	Dux Sweciae	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Duke_of_Sweden.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_of_the_Lutici	-	Dux Liuticiorum	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Duke_of_the_Lutici.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Duke_Waterford	Title	Diúc Phort Láirge	PLACEHOLDER DESCRIPTION	PSF title to be implemented	Pet	0	Admiral_of_France.tga	-	-	n/a	Authority +1, Loyalty -1, Farming +3, Unrest +2, Construction -2
Earl_Marshal_of_England	-	Earl Marshal of England	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Earl_Marshal_of_England.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
Earl_of_northumbria	-	Earl of Northumbria	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Earl_of_Northumbria.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Earl_of_Sjaelland	-	Jarl i Sjælland	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Earl_of_Sjaelland.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Earl_of_Skane	-	Jarl i Skåne	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Earl_of_Skaane.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Earl_of_the_EastGeats	-	Rege Ostrogothorum	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Earl_of_the_East_Geats.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Earl_of_the_WestGeats	-	Rege Wisigothorum	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Earl_of_the_West_Geats.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
											
Emir_Sicily	-	ʾAmīr al-Siqilliyya	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	EmirSic.tga	-	-	n/a	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Emirs_Danishmend	-	ʾAmīr ulDanishmend	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Danishmend.tga	-	-	n/a	Authority +1, Loyalty -1, Farming +3, Unrest +2, Construction -2
Emperor_and_Autocrat_of_the_Romans	-	Basileus kai Autokratōr Rhōmaíōn	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Emperor_and_Autocrat_of_the_Romans.tga	-	-	6	Authority +3, TrainingUnits -3, Construction -3, BattleSurgery +3, TroopMorale +2
Emperor_of_all_Spain	-	Imperator Totius Hispaniæ	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Emperor_of_all_Spain.tga	-	-	6	Authority +3, TrainingUnits -3, Construction -3, BattleSurgery +3, TroopMorale +2
Emperor_to_be	-	Imperator Futurus 	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Emperor_to_Be.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Emperors_Mark	-	Vassileus Vassileon Vassilevon Vassilevonton	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Emperors_Mark.tga	-	-	QRS	Authority +2, Farming +2, TaxCollection +50, Law +2, Construction -2
English_high_Judge	-	Justiciarius	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	English_High_Judge.tga	-	-	QJ	Loyalty +1, Farming +1, TaxCollection +25, Law +2, Unrest -2
Episcopal_General	-	Vidame	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Episcopal_General.tga	-	-	QML	MovementPoints +15, Loyalty +1, Command +1, TrainingUnits -1, BattleSurgery +1
Eternal_King_of_norway	-	Rex Perpetuus norvegiæ	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Eternal_King_of_Norway.tga	-	-	5	Authority +3, TrainingUnits -2, Construction -2, BattleSurgery +3, TroopMorale +2
French_Chancellor	-	Chancelier de France	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	French_Chancellor.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
General_Logothetes	-	Logothetēs tou genikou	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	General_Logothete.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
Genghis_Khan	-	Chinggis Khaan	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Magic	0	Genghis_Khan.tga	-	-	6	Authority +3, TrainingUnits -3, Construction -3, BattleSurgery +3, TroopMorale +2
Georgian_Prime_Minister	-	Mtsignobartukhutses	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Georgian_Prime_Minister.tga	-	-	QCb	Authority +1, Farming +2, TaxCollection +50, Law +2,  MovementPoints -25, 
Gonfalarius_nor	-	Merkismaðr	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Gonfalarius.tga	-	-	QV	MovementPoints +15, Loyalty +1, Command +1, TrainingUnits -1, Law +1
Gonfalarius_swe	-	Tíðenda mann	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Gonfalarius.tga	-	-	QV	MovementPoints +15, Loyalty +1, Command +1, TrainingUnits -1, Law +1
Gonfaloniere_of_Justice	-	Gonfaloniere di Giustizia	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Governor_of_Finland.tga	-	-	QJ	Loyalty +1, Farming +1, TaxCollection +25, Law +2, Unrest -2
Gonfanonier		Gonfanonier	Templars	PLACEHOLDER DESCRIPTION	Religion	0	Grandmaster_of_the_Templars.tga	-	-	-	-
Governor_of_Finland	-	Advocatus et Prefectus Finlandie 	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Grand_Chancellor_of_Lithuania.tga	-	-	QS	Loyalty +2, TaxCollection +25, Law +1, TroopMorale +1, TrainingUnits -1
Grand_Doux	-	Megas Doux 	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Grand_Doux.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
Grand_duke	-	Főispán 	This man is a Főispán (lat. comes supremus, comes principalis, English:. Grand Duke), he is the representative of the King, and the leader of a "Nemesi vármegye" (nobiliary county), a special form of county within the Hungarian state. This title was granted by the King, and could be revoked at any time. Usually this rank was granted to high ranking officials within the Hungarian state, sometimes a single man was a Főispán in many counties. Following his assignment, the King sent messengers to the county to request the obedience of the nobility within the county. The duties of the Főispán within a county included: defending the rights and freedoms of the people living within the county, enforcing the various bulls and laws enacted by the King, the collection of the various royal regalias such as tariffs, salt taxes and other incomes gained from mining precious metals, as well as leading the county's forces during wartime. His income was made up out of the following: 1/3 of all tariffs collected within his county were his, as well as 2/3 of the fines collected during judicial cases (however he split up this money between his assistants). 	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Grand_Duke.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Grand_Duke_of_Aquitaine	-	Aquitanorum magno duce vel principe	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	Grand_Duke_of_Aquitaine.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Grand_duke_of_the_Letts	-	Lietuvos kunigaikštis	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Grand_Duke_of_the_Letts.tga	-	-	5	Authority +3, TrainingUnits -2, Construction -2, BattleSurgery +3, TroopMorale +2
Grand_Logothete	-	Megas Logothetēs	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Grand_Logothete.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
Grand_Marshall	-	Sparapet	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Grand_Marshall.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
Grand_Master_of_Arms	-	Grand maître des arbalêtiers	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Grand_Master_of_Arms.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
grand_master_of_the_order_of_saint_george_hungary	-	A Szent György Vitézei Lovagrend Nagymestere	This man is the Grandmaster of The Order of St. George (Hungarian: Szent György Vitézei Lovagrend), which was the first secular chivalric order in the world established by King Charles I of Hungary in 1326. The Grand Master of the order were always the monarchs of Hungary. The order consisted of 50 members, and it's primary missions were: the defense of Christianity, the promotion of christian festivities, the defense of the weak and the meek, and also the defense of the royal family and the court. These activies resulted in the members of the order being the companions of the King during knights tournaments, and they guarded the holy crown during the 1323 Visegrád assembly. Unlike the ecclesiastical Orders of the period, members of the Society wore black, knee-length, hooded mantle bearing not a device (shield) but rather a peculiar inscription bearing the words "IN VERITATE IUSTUS SUM HUIC FRATERNALI SOCIETATE" which is translated to "In truth I will do justice to this fraternal society". The order flourished during the reign of Charles and achieved greater success under the reign of his son Louis I of Hungary. After the death of Louis, the Hungarian throne became the subject of a violent dispute between his relations and the Hungarian kingdom dissolved into civil war destroying the original Society.	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	grand_master_of_the_order_of_saint_george_hungary.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
grand_master_of_the_order_of_the_dragon	-	Societas Draconistrarum Nagymestere	This man is the Grand Master of the Order of the Dragon (Hungarian: Sárkány Lovagrend Latin: Societas Draconistrarum). The symbol of the order is a dragon choking itself, symbolizing the willingness of the members to sacrifice themselves to help others. The order was established by King Sigismund of Hungary and his queen Barbara of Celje on December 12, 1408. The Grand Masters of the order were always the monarchs of Hungary. The order was initially establish to strengthen the ties between the barons and the King. Later however, after Sigismund became Holy Roman Emperor in 1433, many foreigners including three monarchs (King Henry V of England, King Ladislaus II of Poland and Grand Duke Vytautas of Lithuania) and several important figures were invited to join the order. The duties of the order according to the statute of the Order states the following: "in company with the prelates, barons, and magnates of our kingdom, whom we invite to participate with us in this party, by reason of the sign and effigy of our pure inclination and intention to crush the pernicious deeds of the same perfidious Enemy, and of the followers of the ancient Dragon, and (as one would expect) of the pagan knights, schismatics, and other nations of the Orthodox faith, and those envious of the Cross of Christ, and of our kingdoms, and of his holy and saving religion of faith, under the banner of the triumphant Cross of Christ ...". The patron saints of the order were Saint George and Saint Margaret. The symbol of the order (worn by all the members of the order) was a green dragon with golden scales, with a red cross above it's wings were the latin text: O Q MISERICORS EST DEUS IUSTUS ET PACIENS (O how merciful is God, faithful and just).The symbols of the order were incorporated into the coat of arms of several nobles, such as Vlad II who's son, Vlad Tepes (better known as Dracula) got the nickname draco (dragon) from the symbol.  Initially the order was composed of only 21 members, which was later expanded to 24, and then to unlimited members, however the order was broken up into two classes: there was a superior class, which between 1408 and 1418 wore both the dragon and the cross as the Order's emblem and a more elaborate version afterwards. The second degree had a large amount of members, and its symbol was only the dragon. The order followed the example set by contemporary orders such as the Order of the Garter in England. Following Sigismund's death in 1437, the Order lost prominence.	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	grand_master_of_the_order_of_the_dragon.tga	-	-	QGM	Authority +2, TaxCollection -50, MovementPoints +30, Command +2, BattleSurgery +3
Grand_Prince_of_Kiev	-	Velikiy knyaz Kiev	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Grand_Prince_of_Kiev.tga	-	-	5	Authority +3, TrainingUnits -2, Construction -2, BattleSurgery +3, TroopMorale +2
Grand_Prince_of_novgorod	-	Velikiy knyaz Novgorod	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Grand_Prince_of_Novgorod.tga	-	-	5	Authority +3, TrainingUnits -2, Construction -2, BattleSurgery +3, TroopMorale +2
Grand_Vizier	-	Veziri Azam	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Grand_Vizier.tga	-	-	QJ	Loyalty +1, Farming +1, TaxCollection +25, Law +2, Unrest -2
Grandmaster_of_Santiago	-	Magister generalis de Santiago	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Grandmaster_of_Arms.tga	-	-	QGM	Authority +2, TaxCollection -50, MovementPoints +30, Command +2, BattleSurgery +3
Grandmaster_of_the_Hospitallers	-	Grand maître des hospitaliers	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Grandmaster_of_Santiago.tga	-	-	QGM	Authority +2, TaxCollection -50, MovementPoints +30, Command +2, BattleSurgery +3
Grandmaster_of_the_Sword	-	Societatem Regum Cypri 	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Grandmaster_of_the_Hospitallers.tga	-	-	QRS	Authority +2, Farming +2, TaxCollection +50, Law +2, Construction -2
Grandmaster_of_the_Templars	-	Grand maître des Templiers	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Grandmaster_of_the_Sword.tga	-	-	QGM	Authority +2, TaxCollection -50, MovementPoints +30, Command +2, BattleSurgery +3
Grandmaster_of_the_Teutonic_order	-	Magister Hospitalis Domus Sancte Marie theutonicorum Jerosolimitani 	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Grandmaster_of_the_Templars.tga	-	-	QGM	Authority +2, TaxCollection -50, MovementPoints +30, Command +2, BattleSurgery +3
Great_chancellor_of_Lithuania	-	Kanclerz wielki litewski	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Grandmaster_of_the_Teutonic_Order.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
Great_chancellor_of_the_Crown	-	Kanclerz wielki koronny	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Great_Chancellor_of_the_Crown.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
Great_King_of_Sicily	-	Siciliae Rex Illustris	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Great_King_of_Sicily.tga	-	-	5	Authority +3, TrainingUnits -2, Construction -2, BattleSurgery +3, TroopMorale +2
Great_seal_of_Scotland	-	Seala Mòr na hAlba	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Great_Seal_of_Scotland.tga	-	-	QRS	Authority +2, Farming +2, TaxCollection +50, Law +2, Construction -2
Grosshospittler		GroßHospittler 	(Summus Hospitalarius) hre	PLACEHOLDER DESCRIPTION	Religion	1	Grandmaster_of_the_Teutonic_Order.tga	-	-	-	-
Grosskomtur		Großkomtur	(Magnus Commendator) hre	PLACEHOLDER DESCRIPTION	Religion	1	Grandmaster_of_the_Teutonic_Order.tga	-	-	-	-
Grosstressler		GroßTreßler	hre	PLACEHOLDER DESCRIPTION	Religion	1	Grandmaster_of_the_Teutonic_Order.tga	-	-	-	-
Guardian_of_Scotland	-	Gardein du reaume de Escoce	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Guardian_of_Scotland.tga	-	-	QRS	Authority +2, Farming +2, TaxCollection +50, Law +2, Construction -2
Head_of_Intelligence_and_Investigation_Services	-	Mushrif	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Head_of_Intelligence_and_Investigation_Services.tga	-	-	QJ	Loyalty +1, Farming +1, TaxCollection +25, Law +2, Unrest -2
Head_of_Military_Intelligence	-	Arid al Jaish	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Head_of_Military_Intelligence.tga	-	-	QJ	Loyalty +1, Farming +1, TaxCollection +25, Law +2, Unrest -2
Heir_of_an_Emir	-	Amirzade	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Heir_of_an_Emir.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
Heir_of_Armenia	-	Bdeshkh	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	Heir_of_Armenia.tga	-	-	4	Authority +2, TrainingUnits -2, Construction -2, BattleSurgery +2, TroopMorale +2
high_Consul_of_the_Genoese_army	-	Consul exercitus Ianuensium	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	High_Consul_of_the_Genoese_Army.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
high_Judge_of_Scotland	-	Judex Magnus in Scotia 	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	High_Judge_of_Scotland.tga	-	-	QJ	Loyalty +1, Farming +1, TaxCollection +25, Law +2, Unrest -2
high_King_of_Ireland	-	Ard Rí na hÉireann	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Security	0	High_King_of_Ireland.tga	-	-	5	Authority +3, TrainingUnits -2, Construction -2, BattleSurgery +3, TroopMorale +2
high_Priest	-	Kunigas	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	High_Priest.tga	-	-	QPB	piety +3, TaxCollection -50, Law +2, Construction -2, TrainingUnits -2
highest_Burgrave_of_Prague	-	Nejvyssi prazsky purkrabi	High state official named as lord of Prague, capital of Bohemia.	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Highest_Burgrave_of_Prague.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
highest_Chamberlain	-	Nejvyssi komorzi	Responsible for provincial files and running of court.	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Highest_Chamberlain.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
highest_Chancellor	-	Nejvyssi kanclerz	Most important office inside and outside of the kingdom.	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Highest_Chancellor.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
highest_judge_for_Bohemia	-	Nejvyssi zemsky sudi	Highest judge for Bohemia.	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Highest_Judge_of_Bohemia.tga	-	-	QJ	Loyalty +1, Farming +1, TaxCollection +25, Law +2, Unrest -2
highest_Marshall	-	Nejvyssi marszalek	Act as arbiter for noble disputes, joint office for both Moravia and Bohemia	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Highest_Marshall.tga	-	-	QMR	Authority +1, MovementPoints +30, Command +2, TrainingUnits -2, BattleSurgery +2
Hird_Leader	-	Hirðstjór	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Hird_Leader.tga	-	-	QML	MovementPoints +15, Loyalty +1, Command +1, TrainingUnits -1, BattleSurgery +1
Hochmeister		Hochmeister	PLACEHOLDER DESCRIPTION	PLACEHOLDER DESCRIPTION	Religion	1	Grandmaster_of_the_Teutonic_Order.tga	-	-	-	-
Holy_Roman_Emperor	-	Imperator Augustus Romanorum 	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	Admiral_of_France.tga	-	-	6	Authority +3, TrainingUnits -3, Construction -3, BattleSurgery +3, TroopMorale +2
hungarian_chancellor	-	Kancellár	The "Kancellár" (Chancellor, lat. cancellaria regis) is the leader of the Royal Chancellery. The position was always occupied by members of the clergy. In the medieval Hungarian state the Chancellor lead the 'Királyi Kancellária' or Royal Chancellery which was an important administrative bureau, which issues bulls, diplomas. charters, deeds and all documents needed for the royal court. As this task was quite important, the position was always held by high ranking clergymen such as bishops. However, due to the large amount of duties preformed by such authorities, the supervision of unimportant documents written by the scribes was overseen by his assistant, the 'Alkancellár', who was usually a lower ranking clergyman. 	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	hungarian_chancellor.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
hungarian_chapel_bailiff	-	Kápolnaispán	This man is the Kápolnaispán (lat. comes capellae regiae) or Earl of the Royal Chapel . Initially his rank meant that he was in charge of all religious matters regarding the royal court, and later the head of the Royal Chapel which was an important administrative bureau, which issuesd bulls, diplomas. charters, deeds and all documents needed for the royal court and the state. He guarded and pressed the Royal seal on important documents. The clergy serving in the Royal Chapel was supervised by the Archbishop of Esztergom who could intervene into the day to day matters of the bureau. Although his title would suggest a secular background (Earl of the Royal Chapel), he was a member of the clergy. Beyond issuing documents for the state the supervision and organization of the celebrations of important liturgical events was headed by him as well. Historically by the spread of literacy in the Kingdom and the need for more and more documents led to the establishment of the Royal Chancellery, also headed by a member of the clergy.	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	hungarian_chapel_bailiff.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
hungarian_comes_castrum	-	Várispán	This man is a "Várispán" (Lat:. Comes Castri Eng:. Castellan) a title bestowed by the King upon those individuals who headed a fortification. His duties included serving as the chief justice of the various groups of people inhabiting the castle grounds, leading the members of his fief in wartime and managing the financial issues regarding the area he lorded over. This title was bestowed by the King and could be revoked at any time. He could exercise his judicial authority in the court of the Várispán (curia comitis castri), and he had two assistants: in military affairs he had a "Hadnagy" (Latin:. major exercitus Eng:. Lieutenant), and in administrative and judicial issues his assistant was the "Udvarbíró" (Latin:. comes curialis castri Eng:. Judge of the Court).	PLACEHOLDER EFFECTS DESCRIPTION	Pet	0	humgarian_comes_castrum.tga	-	-	3	Authority +2, TroopMorale +1, Law +2, BattleSurgery +2, Farming +2
Hungarian_Count	-	Ispán	This man is an Ispán (Eng:. Earl Lat:. Comes) a high ranking secular title that grants the bestowed judicial powers over his subjects. The word Ispán comes from the Slavic word zupan. The rank of zupan was used in several states such as the Avars and the Bulgar state, from where the Hungarians borrowed the title. During the middle ages the term Ispán was used to describe several positions of power, including: the leaders of the various ethnic groups (such as the Ispán of the Szeklers), the leaders of administrative counties (such as the Ispán's leading the Vármegyék [Royal Counties]), the leaders of freeman in service of the King called Szerviensek, the title could also be bestowed upon large landowners who had several fiefs, and the title was given to the members of the various important "Nemek" (clans or large families). 	PLACEHOLDER EFFECTS DESCRIPTION	Pet	1	Hungarian_Count.tga	-	-	2	Authority +1, TroopMorale +1, Law +2, TaxCollection -25, Farming +1
